season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,tavon austin,STL,10,4,40.0,33,2,13.5,5,3,60.0,22,2,12.5
2013,jason avant,PHI,10,4,40.0,41,1,17.9,2,0,0.0,0,0,8.7
2013,brent celek,PHI,10,5,50.0,28,4,17.9,5,3,60.0,13,3,21.7
2013,dallas clark,BAL,10,4,40.0,20,3,13.3,7,2,28.57,2,2,17.9
2013,brian hartline,MIA,10,3,30.0,33,2,15.6,2,1,50.0,4,1,7.7
2013,darrius heyward-bey,IND,10,2,20.0,15,1,13.7,7,1,14.29,4,0,20.6
2013,desean jackson,PHI,10,6,60.0,55,3,17.9,3,3,100.0,16,1,13.0
2013,jermaine kearse,SEA,10,5,50.0,43,1,20.4,4,1,25.0,-1,0,17.4
2013,marcedes lewis,JAX,10,5,50.0,33,4,13.2,7,3,42.86,13,3,17.1
2013,dexter mccluster,KAN,10,9,90.0,61,1,13.3,2,2,100.0,7,1,6.1
2013,zach miller,SEA,10,6,60.0,42,5,20.4,4,3,75.0,7,3,17.4
2013,denarius moore,OAK,10,4,40.0,12,3,18.9,9,3,33.33,12,3,31.0
2013,knowshon moreno,DEN,10,9,90.0,51,2,9.1,6,6,100.0,33,2,10.0
2013,david nelson,NYJ,10,6,60.0,43,2,20.4,4,3,75.0,13,2,16.7
2013,hakeem nicks,NYG,10,1,10.0,2,0,18.2,2,0,0.0,0,0,10.0
2013,marcel reece,OAK,10,5,50.0,49,1,18.9,4,1,25.0,2,0,13.8
2013,ace sanders,JAX,10,5,50.0,30,1,13.2,5,2,40.0,5,0,12.2
2013,rod streater,OAK,10,5,50.0,68,2,18.9,4,1,25.0,7,0,13.8
2013,kenbrell thompkins,NWE,10,5,50.0,60,4,12.5,6,2,33.33,9,1,15.8
2013,pierre thomas,NOR,10,10,100.0,18,2,12.2,4,4,100.0,1,2,9.8
2013,roddy white,ATL,10,4,40.0,25,1,11.0,5,3,60.0,15,1,10.2
2013,justin blackmon,JAX,9,2,22.22,14,0,11.8,4,0,0.0,0,0,9.8
2013,randall cobb,GNB,9,4,44.44,21,2,10.6,6,3,50.0,16,2,12.0
2013,aaron dobson,NWE,9,4,44.44,40,2,11.3,5,1,20.0,0,0,13.2
2013,julio jones,ATL,9,5,55.56,17,1,9.9,7,4,57.14,12,1,14.3
2013,lance kendricks,STL,9,6,66.67,35,4,12.2,6,4,66.67,16,3,15.0
2013,logan paulsen,WAS,9,4,44.44,28,3,14.5,6,3,50.0,9,2,18.8
2013,terrance williams,DAL,9,4,44.44,48,2,13.8,5,2,40.0,15,1,12.5
