Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,SF,Brandon Aiyuk,17,906,1091.5662650602408,83,1,9,7,114.3,0.12615894039735098
WR,DEN,KJ Hamler,3,88,200.0,44,0,11,6,7.4,0.08409090909090909
WR,BAL,Devin Duvernay,16,603,1182.3529411764705,51,1,8,7,44.2,0.07330016583747928
WR,IND,Michael Pittman Jr.,17,979,1112.5,88,1,13,9,150.6,0.15383043922369766
WR,CLE,Donovan Peoples-Jones,14,699,907.7922077922078,77,0,8,5,75.7,0.10829756795422033
WR,NYJ,Denzel Mims,10,269,640.4761904761905,42,0,9,3,13.3,0.04944237918215614
WR,BAL,James Proche II,7,152,475.0,32,0,13,11,20.2,0.13289473684210526
WR,DET,Quintez Cephus,5,212,353.33333333333337,60,0,10,7,34.4,0.16226415094339622
WR,BUF,Gabriel Davis,15,550,1057.6923076923076,52,0,11,6,90.9,0.1652727272727273
WR,LAR,Van Jefferson,17,875,1093.75,80,0,10,6,118.2,0.13508571428571428
WR,NO,Marquez Callaway,17,833,1096.0526315789473,76,0,10,6,105.8,0.12701080432172868
WR,SF,Jauan Jennings,13,323,850.0,38,0,12,7,58.2,0.1801857585139319
WR,MIN,K.J. Osborn,17,774,1138.235294117647,68,0,11,7,108.5,0.14018087855297157
WR,PHI,Quez Watkins,17,771,1117.391304347826,69,0,8,6,73.0,0.0946822308690013
WR,SEA,Freddie Swain,17,592,986.6666666666667,60,1,7,5,61.5,0.10388513513513513
WR,TEN,Nick Westbrook-Ikhine,15,632,1053.3333333333335,60,0,9,6,69.6,0.110126582278481
WR,CIN,Ja'Marr Chase,17,939,1104.7058823529412,85,1,14,9,223.6,0.23812566560170392
WR,MIA,Jaylen Waddle,16,903,1087.9518072289156,83,0,16,12,141.8,0.15703211517165006
WR,BAL,Rashod Bateman,12,604,888.235294117647,68,0,11,8,57.5,0.09519867549668874
WR,ARI,Rondale Moore,14,432,960.0,45,4,15,17,55.1,0.1275462962962963
WR,DET,Amon-Ra St. Brown,16,773,1030.6666666666667,75,1,15,13,137.3,0.1776196636481242
WR,CHI,Darnell Mooney,17,986,1120.4545454545455,88,1,14,9,138.7,0.14066937119675454
WR,NE,Kristian Wilkerson,1,60,74.07407407407408,81,0,13,7,16.2,0.26999999999999996
WR,DEN,Kendall Hinton,11,234,731.25,32,0,10,7,23.5,0.10042735042735043
WR,TEN,Dez Fitzpatrick,3,89,202.27272727272728,44,0,9,6,10.9,0.12247191011235956
WR,WAS,Dyami Brown,10,281,624.4444444444445,45,0,9,5,16.1,0.05729537366548043
WR,NYJ,Elijah Moore,11,476,732.3076923076923,65,1,16,10,95.2,0.2
WR,DEN,Seth Williams,1,43,58.9041095890411,73,0,2,2,3.4,0.07906976744186046
WR,NYG,Kadarius Toney,9,282,587.5,48,1,20,16,43.4,0.15390070921985816
WR,CHI,Dazz Newsome,3,103,228.88888888888889,45,0,5,2,2.3,0.02233009708737864
WR,CLE,Anthony Schwartz,13,282,854.5454545454545,33,2,8,6,23.4,0.08297872340425531
WR,HOU,Nico Collins,14,536,908.4745762711865,59,0,11,6,50.6,0.09440298507462687
WR,SEA,Dee Eskridge,8,164,482.35294117647055,34,2,12,9,18.3,0.11158536585365854
WR,LAC,Joshua Palmer,15,441,1050.0,42,0,11,8,59.9,0.13582766439909297
WR,CAR,Terrace Marshall Jr.,12,392,816.6666666666667,48,0,8,4,15.8,0.040306122448979596
WR,HOU,Jalen Camp,1,22,68.75,32,0,0,0,0.0,0.0
WR,IND,Mike Strachan,2,52,144.44444444444446,36,0,6,4,2.6,0.05
RB,NO,Mark Ingram II,14,400,888.8888888888889,45,40,9,47,81.6,0.204
RB,NE,Brandon Bolden,16,342,1036.3636363636363,33,13,14,25,83.1,0.24298245614035086
RB,ATL,Cordarrelle Patterson,16,473,1006.3829787234042,47,32,15,44,182.6,0.386046511627907
RB,TB,Le'Veon Bell,8,170,586.2068965517242,29,23,4,26,33.1,0.19470588235294117
RB,HOU,Rex Burkhead,15,367,941.025641025641,39,33,9,40,79.3,0.21607629427792915
RB,SF,Kyle Juszczyk,15,549,963.157894736842,57,1,7,7,43.8,0.07978142076502731
RB,BAL,Latavius Murray,14,378,994.7368421052631,38,31,3,34,93.6,0.2476190476190476
RB,JAC,Carlos Hyde,12,292,768.421052631579,38,25,8,29,33.8,0.11575342465753424
RB,BAL,Devonta Freeman,16,528,1173.3333333333333,45,25,8,32,112.6,0.21325757575757576
RB,NE,James White,3,63,203.2258064516129,31,16,22,35,19.2,0.30476190476190473
RB,DEN,Melvin Gordon III,16,514,1007.843137254902,51,39,7,45,167.2,0.3252918287937743
RB,MIA,Duke Johnson Jr.,5,149,338.6363636363636,44,48,3,50,55.1,0.3697986577181208
RB,ATL,Mike Davis,17,594,1060.7142857142856,56,23,10,31,94.2,0.15858585858585858
RB,HOU,David Johnson,13,317,792.5,40,21,13,31,49.3,0.1555205047318612
RB,MIA,Malcolm Brown,6,124,400.0,31,27,4,29,19.5,0.15725806451612903
RB,NO,Ty Montgomery,14,300,882.3529411764705,34,5,9,10,13.9,0.04633333333333334
RB,DAL,Ezekiel Elliott,17,809,1225.7575757575758,66,29,8,35,205.1,0.2535228677379481
RB,TEN,Derrick Henry,8,411,578.8732394366198,71,53,5,58,175.3,0.4265206812652068
RB,SEA,Alex Collins,11,257,626.8292682926829,41,42,4,46,59.8,0.2326848249027237
RB,NYG,Devontae Booker,16,519,1038.0,50,28,9,36,104.1,0.2005780346820809
RB,PHI,Jordan Howard,7,153,463.6363636363636,33,56,3,58,60.5,0.3954248366013072
RB,LV,Kenyan Drake,12,280,799.9999999999999,35,23,14,33,72.5,0.25892857142857145
RB,MIN,C.J. Ham,15,330,1000.0,33,2,5,7,15.9,0.04818181818181818
RB,WAS,J.D. McKissic,11,343,762.2222222222222,45,14,15,27,84.9,0.24752186588921285
RB,MIN,Dalvin Cook,13,608,856.3380281690141,71,41,8,47,172.3,0.28338815789473687
RB,TB,Leonard Fournette,14,623,988.8888888888889,63,29,13,40,186.6,0.29951845906902086
RB,CAR,Christian McCaffrey,7,272,453.33333333333337,60,36,15,50,90.5,0.3327205882352941
RB,TEN,D'Onta Foreman,9,230,605.2631578947369,38,58,5,62,84.9,0.3691304347826087
RB,CIN,Joe Mixon,16,697,1040.2985074626865,67,42,7,48,245.9,0.3527977044476327
RB,NO,Alvin Kamara,13,627,836.0,75,38,11,46,187.7,0.2993620414673046
RB,DET,Jamaal Williams,13,317,834.2105263157895,38,48,9,56,93.8,0.29589905362776026
RB,CLE,Kareem Hunt,8,234,531.8181818181819,44,33,12,43,88.0,0.37606837606837606
RB,TEN,Jeremy McNichols,13,268,924.1379310344828,29,15,14,26,45.6,0.1701492537313433
RB,ARI,James Conner,15,598,1031.0344827586207,58,34,7,40,220.7,0.36906354515050166
RB,LAC,Austin Ekeler,16,731,1142.1875,64,28,13,38,273.8,0.3745554035567716
RB,GB,Aaron Jones,15,578,979.6610169491526,59,30,11,39,177.0,0.3062283737024221
RB,SEA,Chris Carson,4,124,217.5438596491228,57,44,5,48,42.1,0.3395161290322581
RB,BAL,Patrick Ricard,8,376,606.4516129032259,62,1,3,3,12.7,0.03377659574468085
RB,NYG,Saquon Barkley,13,513,840.983606557377,61,32,11,40,107.6,0.2097465886939571
RB,CLE,Nick Chubb,14,482,909.4339622641509,53,47,5,51,195.3,0.40518672199170125
RB,MIA,Myles Gaskin,17,575,1150.0,50,30,11,39,124.6,0.21669565217391304
RB,IND,Nyheim Hines,17,352,1100.0,32,16,16,27,72.6,0.20625
RB,SEA,Rashaad Penny,10,253,588.3720930232558,43,47,3,49,115.7,0.4573122529644269
RB,LAR,Sony Michel,17,538,1097.9591836734694,49,39,6,43,125.3,0.2328996282527881
RB,ARI,Chase Edmonds,12,476,835.0877192982455,57,24,11,33,100.3,0.21071428571428572
RB,KC,Darrel Williams,17,568,1183.3333333333335,48,25,10,34,149.0,0.2623239436619718
RB,SF,Jeff Wilson Jr.,9,228,584.6153846153846,39,35,4,38,44.5,0.19517543859649122
RB,TEN,Dontrell Hilliard,8,198,565.7142857142857,35,28,13,38,53.7,0.27121212121212124
RB,NE,Damien Harris,15,407,969.047619047619,42,50,5,54,192.1,0.47199017199017196
RB,CHI,David Montgomery,13,642,856.0,75,35,8,42,154.0,0.2398753894080997
RB,LV,Josh Jacobs,15,625,992.063492063492,63,35,10,43,172.0,0.2752
RB,BUF,Devin Singletary,17,718,1196.6666666666667,60,26,7,32,157.8,0.2197771587743733
RB,PHI,Miles Sanders,12,426,803.7735849056603,53,32,8,38,91.2,0.21408450704225354
RB,NYJ,Ty Johnson,15,408,971.4285714285714,42,15,13,23,83.0,0.2034313725490196
RB,LAR,Darrell Henderson Jr.,12,507,780.0,65,29,8,35,134.4,0.2650887573964497
RB,MIN,Alexander Mattison,16,377,1077.142857142857,35,36,10,44,93.9,0.2490716180371353
RB,DAL,Tony Pollard,15,374,1100.0,34,35,12,45,123.6,0.33048128342245986
RB,DET,Craig Reynolds,5,118,318.9189189189189,37,47,7,53,28.2,0.23898305084745763
RB,CLE,D'Ernest Johnson,13,322,847.3684210526316,38,31,8,37,85.1,0.2642857142857143
RB,DET,D'Andre Swift,13,560,835.820895522388,67,27,14,38,146.9,0.2623214285714286
RB,IND,Jonathan Taylor,17,767,1111.5942028985505,69,43,7,49,333.1,0.4342894393741852
RB,BUF,Zack Moss,13,380,904.7619047619048,42,25,8,31,82.2,0.2163157894736842
RB,PIT,Najee Harris,17,980,1166.6666666666667,84,31,10,39,226.7,0.2313265306122449
RB,KC,Clyde Edwards-Helaire,10,342,684.0,50,35,7,40,97.5,0.2850877192982456
RB,GB,AJ Dillon,17,476,1106.9767441860465,43,39,8,46,151.6,0.31848739495798317
RB,CAR,Rodney Smith,1,26,70.27027027027027,37,0,19,19,4.8,0.1846153846153846
RB,WAS,Antonio Gibson,16,604,1059.6491228070174,57,43,9,50,187.1,0.3097682119205298
RB,SF,JaMycal Hasty,2,41,124.24242424242424,33,15,15,27,13.7,0.3341463414634146
RB,JAC,James Robinson,14,530,913.7931034482759,58,31,9,37,142.9,0.269622641509434
RB,PHI,Jason Huntley,1,31,73.80952380952381,42,42,3,42,5.1,0.16451612903225804
RB,CAR,Chuba Hubbard,16,464,1104.7619047619048,42,37,8,42,112.6,0.24267241379310345
RB,NE,Rhamondre Stevenson,12,265,779.4117647058823,34,50,7,55,100.9,0.3807547169811321
RB,NYJ,Michael Carter,14,449,898.0,50,33,12,41,118.4,0.26369710467706015
RB,DEN,Javonte Williams,17,551,1080.392156862745,51,37,10,45,161.9,0.29382940108892924
RB,SF,Elijah Mitchell,11,441,689.0625,64,47,5,51,146.0,0.3310657596371882
TE,LAC,Jared Cook,16,644,1129.8245614035086,57,0,13,7,84.4,0.13105590062111802
TE,GB,Marcedes Lewis,13,387,860.0,45,0,7,6,21.4,0.05529715762273901
TE,TB,Rob Gronkowski,12,634,834.2105263157895,76,0,14,9,116.2,0.1832807570977918
TE,NYG,Kyle Rudolph,15,471,961.2244897959184,49,0,8,6,33.7,0.07154989384288749
TE,ATL,Lee Smith,10,231,641.6666666666667,36,0,5,4,12.5,0.05411255411255411
TE,KC,Travis Kelce,16,926,1129.2682926829268,82,0,14,10,170.8,0.18444924406047516
TE,ARI,Zach Ertz,17,849,1147.2972972972973,74,0,13,9,106.7,0.12567726737338045
TE,NYJ,Ryan Griffin,14,583,925.3968253968254,63,0,7,5,38.1,0.0653516295025729
TE,IND,Jack Doyle,15,619,982.5396825396825,63,0,7,5,50.2,0.08109854604200324
TE,WAS,Logan Thomas,5,289,332.18390804597703,87,0,9,6,35.6,0.12318339100346021
TE,PIT,Eric Ebron,8,246,559.0909090909091,44,0,7,5,20.5,0.08333333333333333
TE,PHI,Richard Rodgers,1,38,74.50980392156863,51,0,5,5,1.1,0.028947368421052635
TE,TB,Cameron Brate,16,451,1127.5,40,0,13,7,48.5,0.10753880266075388
TE,DET,Darren Fells,3,81,225.0,36,0,6,5,4.3,0.053086419753086415
TE,ARI,Maxx Williams,5,221,334.8484848484848,66,0,8,7,25.3,0.11447963800904978
TE,CHI,Jesse James,5,116,351.5151515151515,33,0,7,6,12.2,0.10517241379310344
TE,NYJ,Tyler Kroft,9,363,576.1904761904761,63,0,7,4,23.3,0.06418732782369146
TE,BAL,Nick Boyle,2,48,150.0,32,0,4,2,0.2,0.004166666666666667
TE,TEN,MyCole Pruitt,13,410,911.1111111111111,45,0,5,3,34.5,0.08414634146341464
TE,KC,Blake Bell,12,262,845.1612903225806,31,2,5,5,9.7,0.037022900763358776
TE,JAC,Chris Manhertz,10,244,642.1052631578947,38,0,4,2,13.1,0.05368852459016393
TE,CIN,C.J. Uzomah,16,802,1041.5584415584415,77,0,8,6,79.3,0.09887780548628429
TE,LV,Darren Waller,11,608,750.6172839506172,81,0,15,9,78.5,0.12911184210526316
TE,JAC,James O'Shaughnessy,7,286,461.2903225806452,62,0,12,8,26.4,0.0923076923076923
TE,TEN,Geoff Swaim,16,719,1106.1538461538462,65,0,6,4,39.0,0.054242002781641166
TE,BAL,Eric Tomlinson,7,166,535.483870967742,31,0,1,1,0.7,0.004216867469879518
TE,NE,Hunter Henry,16,735,1050.0,70,0,10,7,114.3,0.15551020408163266
TE,CLE,Austin Hooper,15,676,979.7101449275361,69,0,9,6,54.5,0.08062130177514792
TE,LAR,Tyler Higbee,15,883,959.7826086956521,92,0,10,7,86.0,0.09739524348810873
TE,NO,Nick Vannett,7,228,447.05882352941177,51,0,7,4,19.3,0.08464912280701754
TE,LAC,Stephen Anderson,14,287,956.6666666666667,30,0,7,6,22.5,0.078397212543554
TE,NO,Garrett Griffin,5,103,332.258064516129,31,0,4,4,3.9,0.037864077669902914
TE,TB,O.J. Howard,11,316,770.7317073170731,41,0,7,4,19.5,0.061708860759493674
TE,CLE,David Njoku,15,620,953.8461538461538,65,0,9,6,71.6,0.11548387096774193
TE,NYG,Evan Engram,15,722,975.6756756756757,74,0,10,7,56.5,0.07825484764542937
TE,MIA,Adam Shaheen,9,301,627.0833333333334,48,0,5,4,11.0,0.036544850498338874
TE,SEA,Gerald Everett,15,650,866.6666666666666,75,0,10,8,69.8,0.10738461538461538
TE,NE,Jonnu Smith,16,526,1031.3725490196077,51,2,9,7,39.4,0.07490494296577946
TE,SF,George Kittle,14,840,913.0434782608695,92,0,11,9,127.0,0.15119047619047618
TE,HOU,Antony Auclair,4,98,264.86486486486484,37,0,5,5,10.7,0.10918367346938775
TE,GB,Robert Tonyan,8,306,510.0,60,0,9,6,32.4,0.10588235294117647
TE,JAC,Jacob Hollister,7,174,470.27027027027026,37,0,8,5,11.5,0.06609195402298851
TE,IND,Mo Alie-Cox,17,609,1107.2727272727273,55,0,7,4,55.6,0.09129720853858785
TE,ARI,Darrell Daniels,10,217,700.0,31,0,2,0,0.0,0.0
TE,DAL,Blake Jarwin,8,275,585.1063829787233,47,0,6,4,21.6,0.07854545454545456
TE,DEN,Eric Saubert,10,220,647.0588235294117,34,0,5,4,10.7,0.04863636363636363
TE,WAS,Ricky Seals-Jones,11,489,740.9090909090909,66,0,10,6,39.1,0.07995910020449898
TE,LAR,Johnny Mundt,3,66,183.33333333333334,36,0,2,2,0.9,0.013636363636363637
TE,TEN,Anthony Firkser,15,396,1042.1052631578948,38,0,11,9,39.1,0.09873737373737373
TE,HOU,Pharaoh Brown,13,521,801.5384615384615,65,0,7,4,15.1,0.028982725527831092
TE,JAC,Dan Arnold,11,363,726.0,50,0,14,10,40.8,0.11239669421487603
TE,BAL,Mark Andrews,17,936,1248.0,75,0,16,12,194.1,0.20737179487179486
TE,PHI,Dallas Goedert,15,781,988.6075949367088,79,0,10,7,109.0,0.13956466069142126
TE,MIA,Mike Gesicki,17,828,1150.0,72,0,14,9,92.0,0.1111111111111111
TE,ATL,Hayden Hurst,12,387,758.8235294117646,51,0,8,7,38.1,0.09844961240310078
TE,DAL,Dalton Schultz,17,993,1225.9259259259259,81,0,10,8,130.8,0.13172205438066467
TE,CAR,Ian Thomas,14,572,922.5806451612904,62,0,5,3,18.8,0.032867132867132866
TE,HOU,Jordan Akins,12,322,766.6666666666667,42,0,10,8,17.7,0.05496894409937888
TE,MIA,Durham Smythe,16,687,1090.4761904761904,63,0,6,5,36.0,0.05240174672489083
TE,DEN,Noah Fant,16,843,1003.5714285714286,84,0,11,8,91.0,0.10794780545670225
TE,MIN,Tyler Conklin,17,924,1140.7407407407406,81,0,9,7,77.3,0.08365800865800865
TE,SF,Ross Dwelley,4,103,264.1025641025641,39,0,5,4,11.1,0.10776699029126213
TE,SEA,Will Dissly,13,446,768.9655172413794,58,0,6,5,29.1,0.06524663677130045
