"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jahan Dotson","WAS","52.6","736.3","3.9","1.0","5.0","0.0","1.2","94.9"
"Jalen Tolbert","DAL","47.3","654.6","4.5","1.0","5.5","0.0","0.6","91.5"
"Joshua Palmer","LAC","50.8","588.8","5.0","0.0","0.0","0.0","0.4","88.2"
"Jameson Williams","DET","46.4","656.0","4.0","1.0","5.0","0.0","1.1","87.8"
"DJ Chark Jr.","DET","40.4","595.9","4.6","0.5","4.0","0.0","0.1","87.5"
"Cedrick Wilson Jr.","MIA","50.8","612.1","4.5","1.5","4.0","0.0","0.8","86.9"
"George Pickens","PIT","52.5","677.5","3.1","0.0","0.0","0.0","0.3","85.4"
"Velus Jones Jr.","CHI","49.5","607.7","3.4","4.1","25.3","0.2","0.3","83.9"
"A.J. Green","ARI","42.8","623.2","3.4","0.0","0.0","0.0","0.1","82.7"
"Rondale Moore","ARI","60.8","542.6","2.8","20.8","99.4","0.4","0.9","82.1"
"Randall Cobb","GB","41.6","504.6","5.3","2.0","7.4","0.0","0.7","82.0"
"Curtis Samuel","WAS","45.0","483.9","3.4","16.7","89.0","0.9","0.7","81.5"
"Donovan Peoples-Jones","CLE","38.6","632.3","3.1","0.0","0.0","0.0","0.7","80.5"
"Kendrick Bourne","NE","41.6","495.2","3.5","11.1","91.2","0.3","0.6","80.1"
"Jamison Crowder","BUF","52.6","535.5","4.4","0.5","2.5","0.0","0.7","79.0"
"Braxton Berrios","NYJ","41.5","440.8","2.6","11.0","71.0","2.3","0.6","79.0"
"John Metchie III","HOU","51.2","614.9","3.0","0.0","0.0","0.0","0.3","78.9"
"Nick Westbrook-Ikhine","TEN","42.8","546.0","4.2","0.0","0.0","0.0","0.7","78.4"
"James Washington","DAL","32.4","509.6","4.4","1.0","6.0","0.0","0.1","77.9"
"Nico Collins","HOU","44.7","596.0","2.7","0.0","0.0","0.0","0.2","75.5"
"Sammy Watkins","GB","41.1","554.4","3.0","1.5","8.8","0.0","0.7","73.0"
"Devin Duvernay","BAL","40.1","448.4","2.9","9.7","65.0","0.4","0.4","70.5"
