"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dontrell Hilliard","TEN","52.9","270.4","2.0","30.4","179.8","0.4","1.2","57.3"
"D'Onta Foreman","CAR","92.0","367.7","2.2","6.8","65.6","0.1","0.7","56.0"
"Ryan Nall","DAL","109.0","301.0","2.0","10.0","63.0","1.0","1.0","52.4"
"Chuba Hubbard","CAR","76.3","271.8","1.8","14.9","104.6","0.7","0.6","51.7"
"Duke Johnson Jr.","BUF","48.2","232.4","1.8","11.0","104.6","0.6","0.5","47.1"
"Craig Reynolds","DET","56.8","241.9","1.0","16.6","125.7","0.7","0.6","46.0"
"Chris Carson","SEA","55.8","245.1","1.7","13.9","90.8","0.3","0.4","44.9"
"Boston Scott","PHI","53.1","234.3","2.6","5.7","41.4","0.2","0.2","43.8"
"Kyle Juszczyk","SF","10.4","37.1","0.7","25.7","232.2","1.7","0.1","41.1"
"Ty Johnson","NYJ","45.8","213.1","1.1","9.3","99.9","0.6","0.5","40.2"
"Jaret Patterson","WAS","60.2","233.0","1.6","9.4","68.4","0.1","1.0","38.3"
"Zamir White","LV","52.5","218.9","2.0","4.2","31.1","0.2","0.2","37.3"
"Benny Snell Jr.","PIT","54.4","211.5","1.6","4.3","29.7","0.1","0.3","33.7"
"Snoop Conner","JAC","40.9","171.3","1.3","9.3","68.7","0.3","0.2","33.3"
"Joshua Kelley","LAC","69.9","230.1","1.5","5.2","35.4","0.0","1.6","32.7"
"Gary Brightwell","NYG","38.8","167.5","1.4","8.8","61.8","0.3","0.2","32.6"
"Chris Evans","CIN","28.2","119.1","0.6","14.2","117.9","1.0","0.6","31.7"
"Hassan Haskins","TEN","40.3","171.1","1.1","7.9","60.5","0.3","0.1","30.9"
"Ameer Abdullah","LV","21.5","76.4","0.3","18.0","142.7","0.8","0.1","28.4"
"Jermar Jefferson","DET","29.0","128.0","2.0","4.0","26.0","0.0","0.0","27.4"
"Ty'Son Williams","IND","35.0","171.0","1.0","3.0","28.0","0.0","0.0","25.9"
"Derrick Gore","KC","24.2","105.3","1.0","9.5","68.4","0.4","0.1","25.7"
"Giovani Bernard","TB","20.2","79.7","0.7","14.5","97.2","0.7","0.1","25.6"
"Tevin Coleman","NYJ","38.6","160.7","0.6","8.5","52.7","0.1","0.5","24.5"
"Isaih Pacheco","KC","31.0","131.0","1.0","5.0","44.0","0.0","0.0","23.5"
"Phillip Lindsay","IND","35.8","159.6","1.0","1.4","12.4","0.0","0.0","23.4"
"Mike Davis","BAL","32.4","138.2","1.0","4.9","31.1","0.1","0.1","23.3"
"D'Ernest Johnson","CLE","28.4","138.8","0.8","4.0","28.0","0.1","0.1","21.9"
"Jeff Wilson Jr.","SF","28.6","117.6","1.1","3.3","25.7","0.2","0.2","21.8"
"Mike Boone","DEN","20.2","113.7","1.2","3.0","22.2","0.1","0.0","21.5"
"Trey Sermon","SF","34.0","137.0","1.0","1.0","12.0","0.0","0.0","20.9"
"Eno Benjamin","ARI","24.9","105.5","0.8","6.4","45.8","0.2","0.1","20.7"
"Keaontay Ingram","ARI","26.7","107.0","0.8","5.2","42.6","0.1","0.1","20.5"
"Tyrion Davis-Price","SF","28.5","115.4","0.8","3.7","31.0","0.1","0.1","20.0"
"Demetric Felton Jr.","CLE","7.2","27.5","0.1","9.9","100.6","1.1","0.0","19.8"
"Rico Dowdle","DAL","24.4","99.5","0.8","5.4","40.9","0.1","0.0","19.5"
"Travis Homer","SEA","17.7","102.1","0.6","5.5","48.3","0.0","0.0","18.8"
"Tony Jones Jr.","NO","25.5","105.2","0.7","3.8","27.2","0.2","0.1","18.3"
"Antonio Williams","NYG","21.9","100.3","0.8","3.6","27.4","0.1","0.0","17.8"
"Pierre Strong Jr.","NE","23.2","96.1","0.7","4.0","31.5","0.1","0.0","17.5"
"Patrick Ricard","BAL","1.5","2.0","0.0","13.7","96.6","1.2","0.0","17.2"
"Johnny Stanton","CLE","10.1","41.1","0.0","8.0","54.6","1.1","0.0","16.4"
"Trestan Ebner","CHI","21.8","88.6","0.7","2.9","23.4","0.0","0.0","15.5"
"Tyler Badie","BAL","20.3","94.0","0.6","2.9","24.1","0.0","0.0","15.5"
"Myles Gaskin","MIA","22.1","90.7","0.7","3.6","19.4","0.1","0.0","15.2"
"Darrynton Evans","CHI","15.6","67.2","0.6","5.6","40.4","0.2","0.1","15.2"
"Jake Funk","LAR","20.1","85.5","0.7","2.1","15.3","0.1","0.1","14.9"
"Kene Nwangwu","MIN","16.6","71.7","0.6","4.4","30.9","0.2","0.1","14.8"
"Kevin Harris","NE","19.1","78.7","0.6","3.0","24.2","0.0","0.0","14.0"
"Jerome Ford","CLE","17.0","81.2","0.5","2.0","18.5","0.0","0.0","13.1"
"Deon Jackson","IND","17.5","75.3","0.6","1.9","13.8","0.1","0.1","12.9"
"Anthony McFarland Jr.","PIT","19.0","80.0","0.5","2.0","14.3","0.1","0.1","12.8"
"JaMycal Hasty","SF","4.6","19.6","0.2","10.5","73.3","0.4","0.1","12.7"
"Ty Chandler","MIN","18.0","72.3","0.6","2.0","19.5","0.0","0.0","12.6"
"Keith Smith","ATL","7.7","31.9","0.2","8.0","57.1","0.3","0.1","11.7"
"DeeJay Dallas","SEA","11.1","47.0","0.4","6.3","39.9","0.1","0.1","11.5"
"Jason Huntley","PHI","13.2","56.6","0.5","3.4","23.7","0.1","0.1","11.5"
"Jeremy McNichols","ATL","14.6","60.6","0.3","3.7","26.7","0.1","0.0","11.3"
"Godwin Igwebuike","DET","12.0","52.4","0.4","3.9","28.5","0.1","0.1","11.2"
"JaQuan Hardy","DAL","12.6","54.3","0.5","2.2","16.2","0.1","0.1","10.3"
"Dare Ogunbowale","HOU","10.6","44.2","0.4","4.1","30.5","0.1","0.0","10.2"
"Kylin Hill","GB","11.4","49.1","0.3","2.0","14.9","0.1","0.1","8.8"
"C.J. Ham","MIN","0.0","0.0","0.0","8.7","63.8","0.4","0.0","8.6"
"Dwayne Washington","NO","8.3","36.0","0.2","3.7","26.8","0.1","0.0","8.5"
"Ryquell Armstead","JAC","10.7","45.9","0.4","1.5","11.6","0.1","0.0","8.1"
"Alec Ingold","MIA","4.0","16.7","0.2","4.5","32.4","0.3","0.1","7.3"
"Jakob Johnson","LV","4.0","16.6","0.2","4.4","32.8","0.3","0.1","7.3"
"Trenton Cannon","TEN","4.5","19.0","0.1","3.8","29.2","0.1","0.0","6.4"
"Trey Edmunds","PIT","7.4","31.7","0.2","2.1","14.3","0.1","0.0","6.1"
"Jason Cabinda","DET","2.1","9.1","0.1","4.1","31.2","0.2","0.0","5.8"
"Adam Prentice","NO","4.4","18.9","0.1","2.0","14.7","0.1","0.0","5.0"
"Michael Burton","KC","7.1","30.1","0.3","0.0","0.0","0.0","0.0","4.9"
"Zack Moss","BUF","7.5","30.6","0.3","0.0","0.0","0.0","0.0","4.9"
"Giovanni Ricci","CAR","0.0","0.0","0.0","4.3","31.9","0.3","0.0","4.8"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.6","0.2","0.0","4.6"
"Larry Rountree III","LAC","4.1","17.1","0.2","2.2","15.4","0.1","0.0","4.6"
"Trevon Wesco","NYJ","0.0","0.0","0.0","4.2","31.3","0.2","0.0","4.4"
"Patrick Taylor Jr.","GB","3.8","16.3","0.1","2.1","14.8","0.1","0.0","4.3"
"Khari Blasingame","CHI","0.0","0.0","0.0","4.0","29.6","0.2","0.0","4.3"
"Derek Watt","PIT","0.0","0.0","0.0","4.4","30.8","0.2","0.0","4.1"
"Trayveon Williams","CIN","0.0","0.0","0.0","4.0","28.2","0.2","0.0","3.7"
"Gabe Nabers","LAC","4.3","18.5","0.2","0.0","0.0","0.0","0.0","2.8"
""
""
