,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
60,Jakobi Meyers,NE,WR,0.5,4.0,0.0,74.2,776.9,3.8,0.8,0.0,0.0,0,0.0,0.0
61,Corey Davis,NYJ,WR,0.0,0.0,0.0,50.6,723.9,4.7,0.7,0.0,0.0,0,0.0,0.0
62,Tyler Boyd,CIN,WR,2.5,17.6,0.0,66.6,729.0,4.1,0.7,0.0,0.0,0,0.0,0.0
63,Jarvis Landry,NO,WR,3.6,15.9,0.5,58.3,708.6,3.9,0.8,0.0,0.0,0,0.0,0.0
64,Van Jefferson,LAR,WR,3.1,25.0,0.1,44.7,657.4,4.6,0.2,0.0,0.0,0,0.0,0.0
65,Alec Pierce,IND,WR,0.0,0.0,0.0,52.3,699.8,4.5,0.3,0.0,0.0,0,0.0,0.0
66,Skyy Moore,KC,WR,1.0,5.5,0.0,50.7,684.9,4.9,1.2,0.0,0.0,0,0.0,0.0
67,Jahan Dotson,WAS,WR,1.0,5.0,0.0,52.6,736.3,3.9,1.2,0.0,0.0,0,0.0,0.0
68,Jalen Tolbert,DAL,WR,1.0,5.5,0.0,47.3,654.6,4.5,0.6,0.0,0.0,0,0.0,0.0
69,Joshua Palmer,LAC,WR,0.0,0.0,0.0,50.8,588.8,5.0,0.4,0.0,0.0,0,0.0,0.0
70,Jameson Williams,DET,WR,1.0,5.0,0.0,46.4,656.0,4.0,1.1,0.0,0.0,0,0.0,0.0
71,DJ Chark Jr.,DET,WR,0.5,4.0,0.0,40.4,595.9,4.6,0.1,0.0,0.0,0,0.0,0.0
72,Cedrick Wilson Jr.,MIA,WR,1.5,4.0,0.0,50.8,612.1,4.5,0.8,0.0,0.0,0,0.0,0.0
73,George Pickens,PIT,WR,0.0,0.0,0.0,52.5,677.5,3.1,0.3,0.0,0.0,0,0.0,0.0
74,Velus Jones Jr.,CHI,WR,4.1,25.3,0.2,49.5,607.7,3.4,0.3,0.0,0.0,0,0.0,0.0
75,A.J. Green,ARI,WR,0.0,0.0,0.0,42.8,623.2,3.4,0.1,0.0,0.0,0,0.0,0.0
76,Rondale Moore,ARI,WR,20.8,99.4,0.4,60.8,542.6,2.8,0.9,0.0,0.0,0,0.0,0.0
77,Randall Cobb,GB,WR,2.0,7.4,0.0,41.6,504.6,5.3,0.7,0.0,0.0,0,0.0,0.0
78,Curtis Samuel,WAS,WR,16.7,89.0,0.9,45.0,483.9,3.4,0.7,0.0,0.0,0,0.0,0.0
79,Donovan Peoples-Jones,CLE,WR,0.0,0.0,0.0,38.6,632.3,3.1,0.7,0.0,0.0,0,0.0,0.0
80,Kendrick Bourne,NE,WR,11.1,91.2,0.3,41.6,495.2,3.5,0.6,0.0,0.0,0,0.0,0.0
81,Jamison Crowder,BUF,WR,0.5,2.5,0.0,52.6,535.5,4.4,0.7,0.0,0.0,0,0.0,0.0
82,Braxton Berrios,NYJ,WR,11.0,71.0,2.3,41.5,440.8,2.6,0.6,0.0,0.0,0,0.0,0.0
83,John Metchie III,HOU,WR,0.0,0.0,0.0,51.2,614.9,3.0,0.3,0.0,0.0,0,0.0,0.0
84,Nick Westbrook-Ikhine,TEN,WR,0.0,0.0,0.0,42.8,546.0,4.2,0.7,0.0,0.0,0,0.0,0.0
85,James Washington,DAL,WR,1.0,6.0,0.0,32.4,509.6,4.4,0.1,0.0,0.0,0,0.0,0.0
86,Nico Collins,HOU,WR,0.0,0.0,0.0,44.7,596.0,2.7,0.2,0.0,0.0,0,0.0,0.0
87,Sammy Watkins,GB,WR,1.5,8.8,0.0,41.1,554.4,3.0,0.7,0.0,0.0,0,0.0,0.0
88,Devin Duvernay,BAL,WR,9.7,65.0,0.4,40.1,448.4,2.9,0.4,0.0,0.0,0,0.0,0.0
89,Darius Slayton,NYG,WR,0.5,-5.0,0.0,36.0,508.3,3.2,0.6,0.0,0.0,0,0.0,0.0
90,Bryan Edwards,ATL,WR,0.0,0.0,0.0,35.3,522.6,2.8,0.1,0.0,0.0,0,0.0,0.0
91,Sterling Shepard,NYG,WR,2.5,10.0,0.0,57.7,544.0,2.4,0.6,0.0,0.0,0,0.0,0.0
92,Dee Eskridge,SEA,WR,7.9,52.3,0.3,37.7,463.9,2.6,0.3,0.0,0.0,0,0.0,0.0
93,Jauan Jennings,SF,WR,0.0,0.0,0.0,35.9,401.2,4.1,0.1,0.0,0.0,0,0.0,0.0
94,Malik Turner,SF,WR,0.0,0.0,0.0,24.0,340.0,5.0,0.0,0.0,0.0,0,0.0,0.0
95,Nelson Agholor,NE,WR,3.7,18.5,0.1,31.9,410.4,2.9,0.1,0.0,0.0,0,0.0,0.0
96,Zay Jones,JAC,WR,1.0,1.5,0.0,42.6,475.4,2.3,0.6,0.0,0.0,0,0.0,0.0
97,Marquez Callaway,NO,WR,4.4,26.9,0.2,27.9,392.0,2.9,0.0,0.0,0.0,0,0.0,0.0
98,David Bell,CLE,WR,1.0,6.0,0.0,32.3,446.1,2.7,0.6,0.0,0.0,0,0.0,0.0
99,Amari Rodgers,GB,WR,1.5,10.0,0.0,32.1,430.7,2.6,0.6,0.0,0.0,0,0.0,0.0
100,Anthony Schwartz,CLE,WR,4.3,26.4,0.2,30.8,389.5,2.5,0.3,0.0,0.0,0,0.0,0.0
101,Terrace Marshall Jr.,CAR,WR,0.0,0.0,0.0,38.6,443.9,2.1,0.3,0.0,0.0,0,0.0,0.0
102,Chris Conley,HOU,WR,0.0,0.0,0.0,32.5,431.9,1.9,0.3,0.0,0.0,0,0.0,0.0
103,Keelan Cole Sr.,LV,WR,0.0,0.5,0.0,27.2,407.7,2.2,0.0,0.0,0.0,0,0.0,0.0
104,Jalen Guyton,LAC,WR,7.8,39.2,0.2,23.8,340.5,2.3,0.1,0.0,0.0,0,0.0,0.0
105,Laviska Shenault Jr.,JAC,WR,11.4,48.1,0.1,37.7,386.5,1.5,0.6,0.0,0.0,0,0.0,0.0
106,Wan'Dale Robinson,NYG,WR,7.9,48.1,0.4,31.7,345.4,1.6,0.2,0.0,0.0,0,0.0,0.0
107,Olamide Zaccheaus,ATL,WR,0.5,1.0,0.0,29.5,375.6,2.1,0.1,0.0,0.0,0,0.0,0.0
108,Byron Pringle,CHI,WR,0.0,0.0,0.0,35.5,390.3,1.9,0.3,0.0,0.0,0,0.0,0.0
109,Noah Brown,DAL,WR,0.0,0.5,0.0,30.9,351.8,2.1,0.1,0.0,0.0,0,0.0,0.0
110,Parris Campbell,IND,WR,0.0,0.0,0.0,29.8,371.1,1.9,0.2,0.0,0.0,0,0.0,0.0
111,Tutu Atwell,LAR,WR,0.0,0.0,0.0,26.4,320.6,2.5,0.2,0.0,0.0,0,0.0,0.0
112,Isaiah McKenzie,BUF,WR,9.9,58.3,0.6,25.2,242.4,1.9,0.2,0.0,0.0,0,0.0,0.0
113,Quintez Cephus,DET,WR,0.0,0.0,0.0,19.6,265.1,2.7,0.0,0.0,0.0,0,0.0,0.0
114,Breshad Perriman,TB,WR,1.0,1.0,0.0,19.4,299.2,1.9,0.0,0.0,0.0,0,0.0,0.0
115,KJ Hamler,DEN,WR,0.0,0.0,0.0,22.7,300.0,1.9,0.2,0.0,0.0,0,0.0,0.0
116,James Proche II,BAL,WR,0.0,0.0,0.0,26.0,307.9,1.7,0.2,0.0,0.0,0,0.0,0.0
117,Damiere Byrd,ATL,WR,0.0,1.0,0.0,27.1,328.0,1.2,0.6,0.0,0.0,0,0.0,0.0
118,Tylan Wallace,BAL,WR,0.0,0.0,0.0,22.0,271.4,1.9,0.2,0.0,0.0,0,0.0,0.0
119,Demarcus Robinson,LV,WR,0.0,0.0,0.0,22.1,256.4,1.8,0.1,0.0,0.0,0,0.0,0.0
120,Romeo Doubs,GB,WR,0.0,0.0,0.0,17.6,213.4,1.9,0.1,0.0,0.0,0,0.0,0.0
121,Zach Pascal,PHI,WR,0.0,0.0,0.0,16.4,198.6,2.1,0.1,0.0,0.0,0,0.0,0.0
122,Josh Reynolds,DET,WR,0.0,0.0,0.0,15.9,219.4,1.7,0.1,0.0,0.0,0,0.0,0.0
123,Freddie Swain,SEA,WR,2.0,12.0,0.1,17.5,217.2,1.1,0.1,0.0,0.0,0,0.0,0.0
124,Tyquan Thornton,NE,WR,0.0,0.0,0.0,17.2,203.3,1.3,0.1,0.0,0.0,0,0.0,0.0
125,Calvin Austin III,PIT,WR,0.0,0.0,0.0,18.2,203.1,1.0,0.1,0.0,0.0,0,0.0,0.0
126,Ashton Dulin,IND,WR,4.7,30.1,0.2,12.7,157.4,1.0,0.1,0.0,0.0,0,0.0,0.0
127,Tyler Johnson,TB,WR,0.0,0.0,0.0,16.0,178.1,1.3,0.1,0.0,0.0,0,0.0,0.0
128,Phillip Dorsett II,HOU,WR,0.0,0.0,0.0,14.6,175.4,0.9,0.1,0.0,0.0,0,0.0,0.0
129,Bisi Johnson,MIN,WR,0.0,0.0,0.0,14.6,159.2,1.1,0.1,0.0,0.0,0,0.0,0.0
130,Laquon Treadwell,JAC,WR,0.0,0.0,0.0,14.9,164.6,1.0,0.1,0.0,0.0,0,0.0,0.0
131,Racey McMath,TEN,WR,0.0,0.0,0.0,13.2,160.1,1.0,0.1,0.0,0.0,0,0.0,0.0
132,Brandon Zylstra,CAR,WR,0.0,0.0,0.0,14.6,168.6,0.7,0.1,0.0,0.0,0,0.0,0.0
133,Dazz Newsome,CHI,WR,0.0,0.0,0.0,13.1,156.9,0.9,0.1,0.0,0.0,0,0.0,0.0
134,Danny Gray,SF,WR,0.0,0.0,0.0,11.6,135.3,0.9,0.1,0.0,0.0,0,0.0,0.0
135,Jalen Reagor,PHI,WR,9.4,51.3,0.3,5.5,68.2,0.6,0.2,0.0,0.0,0,0.0,0.0
136,Trent Sherfield,MIA,WR,0.0,0.0,0.0,10.0,118.8,0.9,0.1,0.0,0.0,0,0.0,0.0
137,Antoine Wesley,ARI,WR,0.0,0.0,0.0,9.3,113.7,0.8,0.1,0.0,0.0,0,0.0,0.0
138,Kyle Philips,TEN,WR,0.0,0.0,0.0,9.9,116.7,0.8,0.1,0.0,0.0,0,0.0,0.0
139,Equanimeous St. Brown,CHI,WR,0.0,0.0,0.0,9.0,123.1,0.5,0.1,0.0,0.0,0,0.0,0.0
140,Erik Ezukanma,MIA,WR,0.0,0.0,0.0,9.2,102.7,0.8,0.1,0.0,0.0,0,0.0,0.0
141,Kalif Raymond,DET,WR,2.1,12.7,0.1,8.0,91.7,0.6,0.1,0.0,0.0,0,0.0,0.0
142,Jamal Agnew,JAC,WR,3.9,30.0,0.2,6.9,80.7,0.4,0.1,0.0,0.0,0,0.0,0.0
143,Dyami Brown,WAS,WR,0.0,0.0,0.0,7.9,97.0,0.7,0.1,0.0,0.0,0,0.0,0.0
144,Quez Watkins,PHI,WR,0.0,0.0,0.0,7.7,95.6,0.7,0.0,0.0,0.0,0,0.0,0.0
145,Collin Johnson,NYG,WR,0.0,0.0,0.0,9.0,102.5,0.6,0.1,0.0,0.0,0,0.0,0.0
146,Simi Fehoko,DAL,WR,0.0,0.0,0.0,7.5,86.8,0.7,0.1,0.0,0.0,0,0.0,0.0
147,Ben Skowronek,LAR,WR,0.0,0.0,0.0,6.8,84.2,0.6,0.1,0.0,0.0,0,0.0,0.0
148,Juwann Winfree,GB,WR,0.0,0.0,0.0,6.5,79.1,0.6,0.1,0.0,0.0,0,0.0,0.0
149,Ihmir Smith-Marsette,MIN,WR,0.0,0.0,0.0,6.9,80.9,0.6,0.1,0.0,0.0,0,0.0,0.0
150,Tre'Quan Smith,NO,WR,0.0,0.0,0.0,6.7,73.1,0.6,0.1,0.0,0.0,0,0.0,0.0
151,Chris Moore,HOU,WR,0.0,0.0,0.0,7.8,81.3,0.3,0.1,0.0,0.0,0,0.0,0.0
152,Cody Hollister,TEN,WR,0.0,0.0,0.0,6.0,74.6,0.4,0.0,0.0,0.0,0,0.0,0.0
153,Mack Hollins,LV,WR,0.0,0.0,0.0,4.9,64.7,0.6,0.0,0.0,0.0,0,0.0,0.0
154,KhaDarel Hodge,ATL,WR,0.0,0.0,0.0,6.0,74.0,0.4,0.0,0.0,0.0,0,0.0,0.0
155,Tyron Johnson,LV,WR,0.0,0.0,0.0,5.4,67.8,0.4,0.0,0.0,0.0,0,0.0,0.0
156,Jakeem Grant Sr.,CLE,WR,2.2,12.9,0.1,4.8,58.4,0.3,0.0,0.0,0.0,0,0.0,0.0
157,DeAndre Carter,LAC,WR,0.0,0.0,0.0,5.3,60.2,0.5,0.1,0.0,0.0,0,0.0,0.0
158,Rashard Higgins,CAR,WR,0.0,0.0,0.0,6.8,72.1,0.3,0.1,0.0,0.0,0,0.0,0.0
159,Trent Taylor,CIN,WR,0.0,0.0,0.0,4.9,57.0,0.5,0.0,0.0,0.0,0,0.0,0.0
160,Kendall Hinton,DEN,WR,0.0,0.0,0.0,5.1,56.6,0.5,0.0,0.0,0.0,0,0.0,0.0
161,Mike Thomas,CIN,WR,0.0,0.0,0.0,4.9,59.0,0.4,0.0,0.0,0.0,0,0.0,0.0
162,Khalil Shakir,BUF,WR,2.0,12.1,0.1,3.7,42.5,0.4,0.0,0.0,0.0,0,0.0,0.0
163,Denzel Mims,NYJ,WR,0.0,0.0,0.0,4.3,58.6,0.4,0.0,0.0,0.0,0,0.0,0.0
164,Mike Strachan,IND,WR,0.0,0.0,0.0,4.8,54.7,0.4,0.0,0.0,0.0,0,0.0,0.0
165,Deonte Harty,NO,WR,0.0,0.0,0.0,4.8,60.1,0.3,0.0,0.0,0.0,0,0.0,0.0
166,Marquise Goodwin,SEA,WR,0.0,0.0,0.0,4.3,59.5,0.3,0.0,0.0,0.0,0,0.0,0.0
167,Miles Boykin,PIT,WR,0.0,0.0,0.0,4.7,55.5,0.3,0.0,0.0,0.0,0,0.0,0.0
168,Ray-Ray McCloud,SF,WR,0.0,0.0,0.0,5.7,55.2,0.3,0.0,0.0,0.0,0,0.0,0.0
169,Josh Gordon,KC,WR,0.0,0.0,0.0,3.4,47.8,0.4,0.0,0.0,0.0,0,0.0,0.0
170,Jaelon Darden,TB,WR,0.0,0.0,0.0,3.7,44.9,0.4,0.0,0.0,0.0,0,0.0,0.0
171,Cyril Grayson Jr.,TB,WR,0.0,0.0,0.0,3.7,46.7,0.3,0.0,0.0,0.0,0,0.0,0.0
172,Marquez Stevenson,BUF,WR,0.0,0.0,0.0,3.5,39.9,0.4,0.0,0.0,0.0,0,0.0,0.0
173,Brandon Powell,LAR,WR,0.0,0.0,0.0,3.6,40.7,0.3,0.0,0.0,0.0,0,0.0,0.0
174,Jalen Nailor,MIN,WR,0.0,0.0,0.0,3.4,39.6,0.3,0.0,0.0,0.0,0,0.0,0.0
175,Stanley Morgan Jr.,CIN,WR,0.0,0.0,0.0,3.1,39.1,0.3,0.0,0.0,0.0,0,0.0,0.0
176,Andy Isabella,ARI,WR,0.0,0.0,0.0,3.2,40.2,0.3,0.0,0.0,0.0,0,0.0,0.0
177,Cam Sims,WAS,WR,0.0,0.0,0.0,3.1,38.8,0.3,0.0,0.0,0.0,0,0.0,0.0
178,Shi Smith,CAR,WR,0.0,0.0,0.0,3.4,38.6,0.2,0.0,0.0,0.0,0,0.0,0.0
179,Auden Tate,ATL,WR,0.0,0.0,0.0,2.7,33.7,0.2,0.0,0.0,0.0,0,0.0,0.0
180,Tajae Sharpe,CHI,WR,0.0,0.0,0.0,3.0,33.9,0.2,0.0,0.0,0.0,0,0.0,0.0
181,Preston Williams,MIA,WR,0.0,0.0,0.0,1.5,19.3,0.2,0.0,0.0,0.0,0,0.0,0.0
182,Jason Moore Jr.,LAC,WR,0.0,0.0,0.0,1.7,21.0,0.2,0.0,0.0,0.0,0,0.0,0.0
183,Seth Williams,DEN,WR,0.0,0.0,0.0,1.7,19.4,0.2,0.0,0.0,0.0,0,0.0,0.0
184,Dax Milne,WAS,WR,0.0,0.0,0.0,1.6,17.8,0.1,0.0,0.0,0.0,0,0.0,0.0
185,Bo Melton,SEA,WR,0.0,0.0,0.0,1.7,18.7,0.1,0.0,0.0,0.0,0,0.0,0.0
186,Dezmon Patmon,IND,WR,0.0,0.0,0.0,1.5,18.0,0.1,0.0,0.0,0.0,0,0.0,0.0
187,Jeff Smith,NYJ,WR,0.0,0.0,0.0,1.5,18.0,0.1,0.0,0.0,0.0,0,0.0,0.0
188,Ty Montgomery,NE,WR,0.0,0.0,0.0,1.7,17.7,0.1,0.0,0.0,0.0,0,0.0,0.0
189,Greg Ward,PHI,WR,0.0,0.0,0.0,1.5,12.9,0.2,0.0,0.0,0.0,0,0.0,0.0
190,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
191,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Josh Allen,BUF,QB,119.0,699.2,6.4,0.0,0,0.0,3.8,598.0,381.0,"4,342.7",34.7,15.8
2,Patrick Mahomes II,KC,QB,66.3,374.1,3.1,0.0,0,0.0,3.6,638.2,420.5,"4,727.0",34.5,13.0
3,Justin Herbert,LAC,QB,61.8,281.7,3.2,0.0,0,0.0,2.0,628.1,416.5,"4,619.9",34.0,14.2
4,Jalen Hurts,PHI,QB,143.5,760.6,8.3,0.0,0,0.0,3.4,482.2,295.9,"3,490.8",24.7,13.3
5,Lamar Jackson,BAL,QB,166.1,947.0,4.0,0.0,0,0.0,4.4,524.1,340.7,"3,705.2",24.2,13.9
6,Tom Brady,TB,QB,29.1,49.9,2.1,0.0,0,0.0,3.2,672.9,445.1,"4,749.0",34.2,12.8
7,Kyler Murray,ARI,QB,98.0,467.1,4.5,0.0,0,0.0,3.0,568.7,384.9,"4,150.1",26.3,14.0
8,Dak Prescott,DAL,QB,53.5,189.1,2.6,0.0,0,0.0,5.5,619.2,414.3,"4,600.9",32.6,12.7
9,Aaron Rodgers,GB,QB,36.3,126.5,2.1,0.0,0,0.0,2.1,563.0,377.3,"4,254.9",34.4,8.0
10,Russell Wilson,DEN,QB,63.2,290.3,2.2,0.0,0,0.0,3.1,560.6,362.6,"4,188.6",29.5,9.9
11,Matthew Stafford,LAR,QB,38.6,81.2,1.8,0.0,0,0.0,2.7,585.0,396.3,"4,600.6",32.5,15.9
12,Joe Burrow,CIN,QB,46.9,159.8,2.4,0.0,0,0.0,2.3,560.7,375.7,"4,368.1",30.2,14.0
13,Trey Lance,SF,QB,110.6,495.4,4.1,0.0,0,0.0,2.0,482.3,302.8,"3,757.9",23.8,14.8
14,Kirk Cousins,MIN,QB,29.4,102.1,1.1,0.0,0,0.0,3.9,574.4,376.0,"4,258.5",30.2,10.9
15,Tua Tagovailoa,MIA,QB,52.5,180.3,3.6,0.0,0,0.0,2.7,583.6,387.0,"4,059.8",26.0,15.3
16,Derek Carr,LV,QB,34.1,106.1,1.0,0.0,0,0.0,4.9,614.4,415.6,"4,605.1",26.6,14.6
17,Deshaun Watson,CLE,QB,82.8,440.1,5.1,0.0,0,0.0,2.8,417.9,273.5,"3,169.8",21.2,10.4
18,Trevor Lawrence,JAC,QB,71.8,326.1,2.1,0.0,0,0.0,4.1,592.7,376.0,"3,963.0",22.1,14.9
19,Zach Wilson,NYJ,QB,43.7,262.6,2.8,0.0,0,0.0,2.4,581.2,348.7,"3,847.5",23.6,18.7
20,Justin Fields,CHI,QB,100.0,540.9,2.8,0.0,0,0.0,6.7,521.0,326.3,"3,621.3",19.9,18.2
21,Ryan Tannehill,TEN,QB,52.9,246.6,3.8,0.0,0,0.0,3.5,498.5,330.7,"3,547.7",23.7,15.4
22,Jameis Winston,NO,QB,70.8,320.2,1.9,0.0,0,0.0,3.6,490.0,307.3,"3,424.3",25.3,13.2
23,Matt Ryan,IND,QB,44.5,136.9,1.8,0.0,0,0.0,4.5,516.8,333.1,"3,691.8",26.0,11.7
24,Carson Wentz,WAS,QB,57.0,204.7,1.4,0.0,0,0.0,4.7,537.4,347.5,"3,716.1",24.1,12.5
25,Daniel Jones,NYG,QB,84.9,431.0,2.4,0.0,0,0.0,5.6,547.8,337.2,"3,553.7",19.1,18.3
26,Jared Goff,DET,QB,27.2,84.6,1.1,0.0,0,0.0,5.1,563.1,371.9,"3,778.2",24.4,13.0
27,Mac Jones,NE,QB,34.4,110.4,0.2,0.0,0,0.0,2.3,519.9,342.6,"3,739.5",23.7,16.7
28,Davis Mills,HOU,QB,29.3,91.8,0.5,0.0,0,0.0,3.0,561.6,364.7,"3,883.2",20.6,16.6
29,Marcus Mariota,ATL,QB,38.9,213.6,1.2,0.0,0,0.0,1.1,428.8,273.5,"2,932.7",15.2,14.8
30,Sam Darnold,CAR,QB,45.8,194.7,2.5,0.0,0,0.0,3.9,453.6,276.6,"2,870.8",13.7,17.7
31,Mitchell Trubisky,PIT,QB,28.2,88.0,1.0,0.0,0,0.0,1.5,383.9,244.7,"2,392.9",14.4,7.7
32,Geno Smith,SEA,QB,21.1,83.3,0.9,0.0,0,0.0,2.0,275.5,171.5,"1,924.8",11.2,7.1
33,Drew Lock,SEA,QB,24.2,103.0,1.5,0.0,0,0.0,2.0,259.2,164.0,"1,847.4",9.3,6.7
34,Kenny Pickett,PIT,QB,20.2,74.1,0.5,0.0,0,0.0,1.8,282.6,171.5,"1,774.2",9.9,6.5
35,Desmond Ridder,ATL,QB,20.7,91.0,0.6,0.0,0,0.0,1.0,141.1,86.7,954.5,5.3,4.0
36,Matt Corral,CAR,QB,14.9,65.7,0.6,0.0,0,0.0,1.1,151.6,92.4,"1,020.7",4.9,4.2
37,Jacoby Brissett,CLE,QB,12.5,45.3,0.6,0.0,0,0.0,1.4,111.9,71.4,767.1,5.3,2.5
38,Teddy Bridgewater,MIA,QB,6.0,22.1,0.2,0.0,0,0.0,0.2,47.0,31.1,334.8,2.1,1.1
39,Taysom Hill,NO,QB,29.0,132.0,2.0,0.0,0,0.0,2.0,5.0,3.0,34.0,0.0,0.0
40,Tyler Huntley,BAL,QB,11.6,61.8,0.4,0.0,0,0.0,0.2,34.4,22.4,230.4,1.5,1.0
41,Gardner Minshew II,PHI,QB,7.1,35.3,0.1,0.0,0,0.0,0.2,39.7,25.0,286.9,2.0,1.0
42,Tyrod Taylor,NYG,QB,6.8,33.1,0.3,0.0,0,0.0,0.3,43.8,26.6,291.7,1.7,1.4
43,Andy Dalton,NO,QB,4.8,18.4,0.1,0.0,0,0.0,0.2,38.1,24.6,261.9,1.9,1.4
44,Case Keenum,BUF,QB,1.5,7.2,0.0,0.0,0,0.0,0.1,30.2,19.3,217.9,2.0,0.9
45,Chad Henne,KC,QB,2.8,5.6,0.1,0.0,0,0.0,0.2,32.1,20.4,223.7,1.5,0.9
46,Brett Rypien,DEN,QB,1.4,5.2,0.1,0.0,0,0.0,0.2,33.5,19.8,221.3,1.6,1.3
47,Cooper Rush,DAL,QB,3.3,4.5,0.0,0.0,0,0.0,0.1,30.6,18.7,213.5,1.5,0.9
48,Jordan Love,GB,QB,2.9,12.3,0.0,0.0,0,0.0,0.2,27.9,16.5,183.8,1.5,0.7
49,Brandon Allen,CIN,QB,2.7,9.9,0.0,0.0,0,0.0,0.1,28.7,18.3,205.7,1.3,0.9
50,Chase Daniel,LAC,QB,2.7,8.0,0.0,0.0,0,0.0,0.1,30.7,19.0,206.6,1.4,1.1
51,John Wolford,LAR,QB,2.7,11.1,0.0,0.0,0,0.0,0.1,28.5,17.6,195.2,1.3,1.1
52,Colt McCoy,ARI,QB,2.5,10.0,0.0,0.0,0,0.0,0.2,28.5,18.9,200.6,1.2,0.9
53,Nick Foles,IND,QB,2.8,12.8,0.0,0.0,0,0.0,0.1,26.4,16.8,184.2,1.2,0.4
54,Josh Johnson,DEN,QB,4.0,18.0,0.0,0.0,0,0.0,0.0,24.0,16.0,174.0,1.0,0.0
55,Nick Mullens,LV,QB,2.2,2.8,0.0,0.0,0,0.0,0.6,30.8,20.7,229.9,1.3,1.1
56,Kyle Trask,TB,QB,1.3,4.8,0.0,0.0,0,0.0,0.1,28.6,17.4,181.3,1.4,0.6
57,Joe Flacco,NYJ,QB,2.4,11.3,0.0,0.0,0,0.0,0.6,30.1,18.7,206.5,1.3,0.8
58,Malik Willis,TEN,QB,2.6,12.1,0.1,0.0,0,0.0,0.1,27.5,17.2,188.0,1.1,0.9
59,C.J. Beathard,JAC,QB,2.8,11.2,0.0,0.0,0,0.0,0.7,28.9,17.8,195.3,1.2,0.4
60,Tim Boyle,DET,QB,2.6,10.0,0.0,0.0,0,0.0,0.1,28.4,17.5,181.2,1.2,1.1
61,Trevor Siemian,CHI,QB,2.0,8.9,0.0,0.0,0,0.0,0.1,28.2,17.3,189.7,1.1,0.8
62,Nate Sudfeld,SF,QB,1.2,4.7,0.1,0.0,0,0.0,0.2,28.1,17.3,189.1,1.2,1.0
63,Jarrett Stidham,LV,QB,4.0,6.0,0.0,0.0,0,0.0,0.0,26.0,18.0,202.0,1.0,1.0
64,Mason Rudolph,PIT,QB,4.0,13.0,0.0,0.0,0,0.0,0.0,27.0,17.0,158.0,1.0,0.0
65,Jimmy Garoppolo,SF,QB,5.0,19.0,0.0,0.0,0,0.0,0.0,20.0,14.0,168.0,1.0,1.0
66,Brian Hoyer,NE,QB,3.1,3.4,0.0,0.0,0,0.0,0.1,26.4,17.1,185.9,1.2,1.1
67,Kellen Mond,MIN,QB,1.2,5.0,0.0,0.0,0,0.0,0.1,26.2,15.4,158.1,1.2,0.6
68,Taylor Heinicke,WAS,QB,3.4,13.9,0.0,0.0,0,0.0,0.1,23.0,14.9,157.3,1.0,0.9
69,Kyle Allen,HOU,QB,1.7,6.5,0.0,0.0,0,0.0,0.7,28.5,18.0,196.2,1.1,0.9
70,Sean Mannion,MIN,QB,5.0,18.0,0.0,0.0,0,0.0,0.0,24.0,13.0,150.0,1.0,1.0
71,Mike White,NYJ,QB,4.0,4.0,0.0,0.0,0,0.0,0.0,25.0,14.0,158.0,1.0,1.0
72,Nathan Peterman,CHI,QB,5.0,18.0,0.0,0.0,0,0.0,0.0,16.0,9.0,94.0,1.0,1.0
73,Sam Howell,WAS,QB,0.4,2.0,0.0,0.0,0,0.0,0.1,7.8,4.7,51.4,0.3,0.2
74,Joshua Dobbs,CLE,QB,0.1,0.6,0.0,0.0,0,0.0,0.0,3.2,2.0,21.5,0.2,0.1
75,0,0,QB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
76,0,0,QB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Travis Kelce,KC,TE,0.0,0,0.0,104.3,"1,228.0",8.8,0.8,0.0,0.0,0,0.0,0.0
2,Mark Andrews,BAL,TE,0.0,0,0.0,89.5,"1,114.7",9.2,0.8,0.0,0.0,0,0.0,0.0
3,Darren Waller,LV,TE,0.0,0,0.0,81.7,997.9,4.9,0.7,0.0,0.0,0,0.0,0.0
4,George Kittle,SF,TE,0.0,0,0.0,74.4,940.8,5.0,0.8,0.0,0.0,0,0.0,0.0
5,Kyle Pitts,ATL,TE,0.0,0,0.0,70.4,978.1,3.8,0.7,0.0,0.0,0,0.0,0.0
6,Dalton Schultz,DAL,TE,0.0,0,0.0,77.0,758.6,6.1,0.7,0.0,0.0,0,0.0,0.0
7,Dallas Goedert,PHI,TE,0.0,0,0.0,61.2,799.0,5.0,0.7,0.0,0.0,0,0.0,0.0
8,T.J. Hockenson,DET,TE,0.0,0,0.0,66.4,678.3,5.6,0.7,0.0,0.0,0,0.0,0.0
9,Mike Gesicki,MIA,TE,0.0,0,0.0,64.9,736.3,4.3,0.6,0.0,0.0,0,0.0,0.0
10,Zach Ertz,ARI,TE,0.0,0,0.0,64.1,662.7,5.3,0.6,0.0,0.0,0,0.0,0.0
