Rank,Player,Avg Pick,Pos,Tm,Season
1,LeSean McCoy,1.99,RB,PHI,2014
2,Jamaal Charles,2.28,RB,KCC,2014
3,Calvin Johnson,4.87,WR,DET,2014
4,Matt Forte,5.45,RB,CHI,2014
5,Demaryius Thomas,7.94,WR,DEN,2014
6,Eddie Lacy,8.20,RB,GBP,2014
7,Jimmy Graham,8.60,TE,NOS,2014
8,Dez Bryant,10.28,WR,DAL,2014
9,A.J. Green,11.05,WR,CIN,2014
10,Julio Jones,13.93,WR,ATL,2014
11,Brandon Marshall,14.69,WR,CHI,2014
12,Peyton Manning,15.57,QB,DEN,2014
13,DeMarco Murray,16.70,RB,DAL,2014
14,Marshawn Lynch,16.79,RB,SEA,2014
15,Montee Ball,16.89,RB,DEN,2014
16,Giovani Bernard,18.81,RB,CIN,2014
17,Antonio Brown,20.42,WR,PIT,2014
18,Jordy Nelson,21.05,WR,GBP,2014
19,Alshon Jeffery,21.50,WR,CHI,2014
20,Aaron Rodgers,22.06,QB,GBP,2014
21,Le'Veon Bell,22.65,RB,PIT,2014
22,Drew Brees,24.21,QB,NOS,2014
23,Doug Martin,24.92,RB,TBB,2014
24,Arian Foster,25.03,RB,HOU,2014
25,Randall Cobb,25.54,WR,GBP,2014
26,Rob Gronkowski,27.11,TE,NEP,2014
27,Julius Thomas,28.47,TE,DEN,2014
28,Keenan Allen,31.63,WR,SDC,2014
29,Andre Ellington,32.07,RB,ARI,2014
30,Zac Stacy,32.41,RB,STL,2014
31,Alfred Morris,34.43,RB,WAS,2014
32,Pierre Garcon,36.40,WR,WAS,2014
33,Reggie Bush,36.61,RB,DET,2014
34,Andre Johnson,38.98,WR,HOU,2014
35,Victor Cruz,39.32,WR,NYG,2014
36,C.J. Spiller,39.36,RB,BUF,2014
37,Vincent Jackson,39.75,WR,TBB,2014
38,Cordarrelle Patterson,42.48,WR,MIN,2014
39,Larry Fitzgerald,42.61,WR,ARI,2014
40,Shane Vereen,44.09,RB,NEP,2014
41,Roddy White,45.62,WR,ATL,2014
42,Andrew Luck,46.88,QB,IND,2014
43,Michael Crabtree,47.38,WR,SFO,2014
44,Percy Harvin,48.17,WR,NYJ,2014
45,Matthew Stafford,48.76,QB,DET,2014
46,Michael Floyd,49.36,WR,ARI,2014
47,Ryan Mathews,52.53,RB,SDC,2014
48,Jordan Cameron,52.85,TE,CLE,2014
49,DeSean Jackson,53.20,WR,WAS,2014
50,Toby Gerhart,55.36,RB,JAC,2014
51,T.Y. Hilton,55.57,WR,IND,2014
52,Wes Welker,57.48,WR,DEN,2014
53,Julian Edelman,59.17,WR,NEP,2014
54,Rashad Jennings,59.19,RB,NYG,2014
55,Torrey Smith,60.31,WR,BAL,2014
56,Vernon Davis,62.83,TE,SFO,2014
57,Ben Tate,62.87,RB,PIT,2014
58,Joique Bell,64.00,RB,DET,2014
59,Bishop Sankey,64.42,RB,TEN,2014
60,Chris Johnson,64.92,RB,NYJ,2014
61,Trent Richardson,66.02,RB,IND,2014
62,Nick Foles,66.71,QB,PHI,2014
63,Frank Gore,66.98,RB,SFO,2014
64,Jeremy Maclin,68.12,WR,PHI,2014
65,Kendall Wright,69.51,WR,TEN,2014
66,Emmanuel Sanders,70.94,WR,DEN,2014
67,Jason Witten,72.06,TE,DAL,2014
68,Mike Wallace,72.73,WR,MIA,2014
69,Eric Decker,74.60,WR,NYJ,2014
70,Marques Colston,74.64,WR,NOS,2014
71,Sammy Watkins,75.58,WR,BUF,2014
72,Tom Brady,76.89,QB,NEP,2014
73,Matt Ryan,77.41,QB,ATL,2014
74,Cam Newton,78.02,QB,CAR,2014
75,Jordan Reed,79.90,TE,WAS,2014
76,Pierre Thomas,80.72,RB,NOS,2014
77,Reggie Wayne,85.55,WR,IND,2014
78,Terrance Williams,85.66,WR,DAL,2014
79,Golden Tate,85.86,WR,DET,2014
80,Kyle Rudolph,86.21,TE,MIN,2014
81,Brandin Cooks,87.63,WR,NOS,2014
82,Greg Olsen,87.64,TE,CAR,2014
83,Robert Griffin III,89.45,QB,WAS,2014
84,Dennis Pitta,90.10,TE,BAL,2014
85,"Seahawks, Seattle SEA Def",92.09,Def,SEA,2014
86,Maurice Jones-Drew,92.34,RB,OAK,2014
87,Colin Kaepernick,93.15,QB,SFO,2014
88,Stevan Ridley,93.38,RB,NEP,2014
89,Lamar Miller,95.02,RB,MIA,2014
90,Steven Jackson,96.59,RB,ATL,2014
91,Mike Evans,97.52,WR,TBB,2014
92,Jay Cutler,97.66,QB,CHI,2014
93,Darren Sproles,98.01,RB,PHI,2014
94,DeAndre Hopkins,98.33,WR,HOU,2014
95,Tony Romo,99.36,QB,DAL,2014
96,Danny Woodhead,100.45,RB,SDC,2014
97,Knowshon Moreno,100.97,RB,MIA,2014
98,Zach Ertz,101.24,TE,PHI,2014
99,Russell Wilson,101.44,QB,SEA,2014
100,Rueben Randle,103.87,WR,NYG,2014
101,Dwayne Bowe,105.85,WR,KCC,2014
102,Kelvin Benjamin,106.40,WR,CAR,2014
103,Carlos Hyde,107.64,RB,SFO,2014
104,Fred Jackson,108.53,RB,BUF,2014
105,Justin Hunter,111.50,WR,TEN,2014
106,Riley Cooper,113.14,WR,PHI,2014
107,Philip Rivers,114.47,QB,SDC,2014
108,Bernard Pierce,114.73,RB,BAL,2014
109,Cecil Shorts,114.86,WR,JAC,2014
110,Tavon Austin,116.98,WR,STL,2014
111,Martellus Bennett,118.69,TE,CHI,2014
112,Devonta Freeman,118.69,RB,ATL,2014
113,Anquan Boldin,120.02,WR,SFO,2014
114,Ladarius Green,120.81,TE,SDC,2014
115,Hakeem Nicks,122.70,WR,IND,2014
116,Jeremy Hill,122.93,RB,CIN,2014
117,Andy Dalton,125.04,QB,CIN,2014
118,Terrance West,125.06,RB,CLE,2014
119,"49ers, San Francisco SFO Def",125.44,Def,SFO,2014
120,Danny Amendola,127.75,WR,NEP,2014
121,Charles Clay,128.00,TE,MIA,2014
122,Darren McFadden,128.77,RB,OAK,2014
123,Jordan Matthews,129.22,WR,PHI,2014
124,Ben Roethlisberger,130.08,QB,PIT,2014
125,Christine Michael,131.52,RB,SEA,2014
126,"Panthers, Carolina CAR Def",132.97,Def,CAR,2014
127,Kenny Stills,133.42,WR,NOS,2014
128,Markus Wheaton,134.43,WR,PIT,2014
129,Mark Ingram,134.79,RB,NOS,2014
130,DeAngelo Williams,135.26,RB,CAR,2014
131,Eric Ebron,137.06,TE,DET,2014
132,Greg Jennings,138.52,WR,MIN,2014
133,Jarrett Boykin,142.05,WR,GBP,2014
134,"Rams, St. Louis STL Def",142.86,Def,STL,2014
135,Khiry Robinson,143.05,RB,NOS,2014
136,Marvin Jones,144.59,WR,CIN,2014
