Rank,Player,Avg Pick,Pos,Tm,Season
1,Saquon Barkley,1.39,RB,NYG,2019
2,Christian McCaffrey,2.59,RB,CAR,2019
3,Alvin Kamara,2.82,RB,NOS,2019
4,Ezekiel Elliott,4.94,RB,DAL,2019
5,DeAndre Hopkins,5.98,WR,HOU,2019
6,Davante Adams,8.51,WR,GBP,2019
7,David Johnson,9.95,RB,ARI,2019
8,Le'Veon Bell,11.06,RB,NYJ,2019
9,Michael Thomas,11.08,WR,NOS,2019
10,James Conner,11.13,RB,PIT,2019
11,Julio Jones,12.28,WR,ATL,2019
12,Odell Beckham,13.07,WR,CLE,2019
13,JuJu Smith-Schuster,14.47,WR,PIT,2019
14,Todd Gurley,15.02,RB,LAR,2019
15,Travis Kelce,15.79,TE,KCC,2019
16,Patrick Mahomes,16.34,QB,KCC,2019
17,Dalvin Cook,17.00,RB,MIN,2019
18,Nick Chubb,17.02,RB,CLE,2019
19,Joe Mixon,18.76,RB,CIN,2019
20,Tyreek Hill,20.46,WR,KCC,2019
21,Leonard Fournette,26.25,RB,JAC,2019
22,Zach Ertz,27.15,TE,PHI,2019
23,Adam Thielen,27.91,WR,MIN,2019
24,Damien Williams,28.04,RB,KCC,2019
25,Keenan Allen,29.08,WR,LAC,2019
26,Stefon Diggs,30.50,WR,MIN,2019
27,George Kittle,30.81,TE,SFO,2019
28,Melvin Gordon,32.24,RB,LAC,2019
29,Amari Cooper,32.28,WR,DAL,2019
30,Aaron Jones,32.70,RB,GBP,2019
31,Josh Jacobs,37.07,RB,OAK,2019
32,Deshaun Watson,38.06,QB,HOU,2019
33,Devonta Freeman,38.58,RB,ATL,2019
34,Brandin Cooks,38.99,WR,LAR,2019
35,Marlon Mack,39.85,RB,IND,2019
36,T.Y. Hilton,40.42,WR,IND,2019
37,Derrick Henry,41.34,RB,TEN,2019
38,Julian Edelman,44.32,WR,NEP,2019
39,Robert Woods,45.44,WR,LAR,2019
40,David Montgomery,46.65,RB,CHI,2019
41,Sony Michel,48.46,RB,NEP,2019
42,Aaron Rodgers,48.91,QB,GBP,2019
43,Tyler Lockett,49.66,WR,SEA,2019
44,Mark Ingram,49.82,RB,BAL,2019
45,Kenny Golladay,50.60,WR,DET,2019
46,Chris Godwin,50.90,WR,TBB,2019
47,Phillip Lindsay,53.94,RB,DEN,2019
48,Calvin Ridley,54.36,WR,ATL,2019
49,Cooper Kupp,56.33,WR,LAR,2019
50,Baker Mayfield,57.10,QB,CLE,2019
51,O.J. Howard,58.42,TE,TBB,2019
52,James White,59.25,RB,NEP,2019
53,Tyler Boyd,59.63,WR,CIN,2019
54,Mike Williams,62.38,WR,LAC,2019
55,D.J. Moore,62.40,WR,CAR,2019
56,A.J. Green,64.74,WR,CIN,2019
57,Matt Ryan,65.35,QB,ATL,2019
58,Jarvis Landry,66.21,WR,CLE,2019
59,Hunter Henry,67.20,TE,LAC,2019
60,Tarik Cohen,67.79,RB,CHI,2019
61,Allen Robinson,71.72,WR,CHI,2019
62,Tevin Coleman,73.56,RB,SFO,2019
63,Carson Wentz,74.13,QB,PHI,2019
64,Darius Leonard,75.49,LB,IND,2019
65,Russell Wilson,77.30,QB,SEA,2019
66,Corey Davis,77.68,WR,TEN,2019
67,Robby Anderson,78.45,WR,NYJ,2019
68,Miles Sanders,79.45,RB,PHI,2019
69,Austin Ekeler,81.05,RB,LAC,2019
70,Jared Cook,81.48,TE,NOS,2019
71,Kenyan Drake,81.91,RB,ARI,2019
72,Drew Brees,86.19,QB,NOS,2019
73,Sterling Shepard,87.47,WR,NYG,2019
74,Will Fuller,87.63,WR,HOU,2019
75,Cam Newton,88.56,QB,CAR,2019
76,Jordan Howard,90.11,RB,PHI,2019
77,Sammy Watkins,91.20,WR,KCC,2019
78,Jared Goff,91.91,QB,LAR,2019
79,Vance McDonald,94.87,TE,PIT,2019
80,Christian Kirk,95.34,WR,ARI,2019
81,Dante Pettis,96.66,WR,SFO,2019
82,Courtland Sutton,97.00,WR,DEN,2019
83,Dede Westbrook,98.13,WR,JAC,2019
84,David Njoku,98.44,TE,CLE,2019
85,Larry Fitzgerald,98.90,WR,ARI,2019
86,"Bears, Chicago CHI Def",99.40,Def,CHI,2019
87,Duke Johnson,99.44,RB,HOU,2019
88,Marvin Jones,99.49,WR,DET,2019
89,Jameis Winston,100.96,QB,TBB,2019
90,Emmanuel Sanders,100.99,WR,SFO,2019
91,Latavius Murray,101.63,RB,NOS,2019
92,Kyler Murray,106.22,QB,ARI,2019
93,Curtis Samuel,106.33,WR,CAR,2019
94,Austin Hooper,107.11,TE,ATL,2019
95,LeSean McCoy,108.37,RB,KCC,2019
96,Kareem Hunt,109.03,RB,CLE,2019
97,Lamar Jackson,110.30,QB,BAL,2019
98,Dak Prescott,111.54,QB,DAL,2019
99,Tom Brady,112.85,QB,NEP,2019
100,Royce Freeman,114.58,RB,DEN,2019
101,Devin Singletary,115.43,RB,BUF,2019
102,Geronimo Allison,117.53,WR,GBP,2019
103,Marquez Valdes-Scantling,119.29,WR,GBP,2019
104,Peyton Barber,122.06,RB,TBB,2019
105,Matt Breida,122.52,RB,SFO,2019
106,Philip Rivers,123.17,QB,LAC,2019
107,Jaylen Samuels,124.23,RB,PIT,2019
108,Kirk Cousins,125.11,QB,MIN,2019
109,T.J. Hockenson,125.85,TE,DET,2019
110,Kyle Rudolph,126.79,TE,MIN,2019
111,James Washington,126.83,WR,PIT,2019
112,Greg Zuerlein,127.18,PK,LAR,2019
113,Donte Moncrief,129.40,WR,FA,2019
114,N'Keal Harry,130.93,WR,NEP,2019
115,Mitchell Trubisky,131.10,QB,CHI,2019
116,"Rams, Los Angeles LAR Def",133.37,Def,LAR,2019
117,DK Metcalf,133.71,WR,SEA,2019
118,John Brown,133.86,WR,BUF,2019
119,Adrian Peterson,134.71,RB,WAS,2019
120,Michael Gallup,134.87,WR,DAL,2019
121,Jimmy Garoppolo,134.91,QB,SFO,2019
122,Ronald Jones,136.00,RB,TBB,2019
123,Josh Allen,136.44,QB,BUF,2019
124,Justin Tucker,137.02,PK,BAL,2019
125,Greg Olsen,137.20,TE,CAR,2019
126,Golden Tate,137.73,WR,NYG,2019
127,Trey Burton,138.36,TE,CHI,2019
128,"Chargers, Los Angeles LAC Def",138.54,Def,LAC,2019
129,Tony Pollard,138.85,RB,DAL,2019
130,Anthony Miller,140.12,WR,CHI,2019
131,Sam Darnold,140.23,QB,NYJ,2019
132,Keke Coutee,140.94,WR,HOU,2019
133,Mark Andrews,141.00,TE,BAL,2019
134,Dion Lewis,141.06,RB,TEN,2019
135,"Jaguars, Jacksonville JAC Def",141.18,Def,JAC,2019
136,"Ravens, Baltimore BAL Def",142.96,Def,BAL,2019
137,Darwin Thompson,143.08,RB,KCC,2019
138,Justice Hill,143.18,RB,BAL,2019
139,Matthew Stafford,145.01,QB,DET,2019
140,Harrison Butker,145.69,PK,KCC,2019
141,Derek Carr,147.61,QB,OAK,2019
142,Damien Harris,148.18,RB,NEP,2019
143,Jimmy Graham,148.40,TE,GBP,2019
144,Andy Dalton,148.43,QB,CIN,2019
145,Nyheim Hines,148.94,RB,IND,2019
146,Justin Jackson,150.07,RB,LAC,2019
147,D'Onta Foreman,150.42,RB,FA,2019
148,Alexander Mattison,150.56,RB,MIN,2019
149,Marcus Mariota,151.14,QB,TEN,2019
150,Ito Smith,151.51,RB,ATL,2019
151,"Vikings, Minnesota MIN Def",151.79,Def,MIN,2019
152,Dallas Goedert,151.83,TE,PHI,2019
153,Tyrell Williams,152.05,WR,OAK,2019
154,Wil Lutz,152.96,PK,NOS,2019
155,Noah Fant,153.49,TE,DEN,2019
156,Nick Foles,153.86,QB,JAC,2019
157,Carlos Hyde,155.04,RB,HOU,2019
158,Dwayne Haskins,155.47,QB,WAS,2019
159,Jamison Crowder,155.97,WR,NYJ,2019
160,DeVante Parker,156.99,WR,MIA,2019
161,Stephen Gostkowski,158.86,PK,NEP,2019
162,Mohamed Sanu,160.02,WR,NEP,2019
163,Jack Doyle,163.26,TE,IND,2019
164,"Patriots, New England NEP Def",164.19,Def,NEP,2019
165,A.J. Brown,164.29,WR,TEN,2019
166,Deebo Samuel,164.41,WR,SFO,2019
167,Mecole Hardman,164.49,WR,KCC,2019
168,"Texans, Houston HOU Def",164.72,Def,HOU,2019
169,Darren Waller,164.88,TE,OAK,2019
170,Joe Flacco,166.54,QB,DEN,2019
171,Ka'imi Fairbairn,167.46,PK,HOU,2019
172,"Broncos, Denver DEN Def",167.56,Def,DEN,2019
173,Marquise Brown,167.74,WR,BAL,2019
174,"Browns, Cleveland CLE Def",167.99,Def,CLE,2019
175,Tre'Quan Smith,168.37,WR,NOS,2019
176,Chris Thompson,170.14,RB,WAS,2019
177,Robbie Gould,170.94,PK,SFO,2019
178,"Seahawks, Seattle SEA Def",171.16,Def,SEA,2019
179,"Saints, New Orleans NOS Def",171.55,Def,NOS,2019
180,Matt Bryant,171.62,PK,FA,2019
181,Tyler Eifert,173.60,TE,CIN,2019
182,Jason Witten,174.83,TE,DAL,2019
183,Kenny Stills,175.64,WR,HOU,2019
184,"Cowboys, Dallas DAL Def",176.08,Def,DAL,2019
185,"Chiefs, Kansas City KCC Def",177.00,Def,KCC,2019
186,Giovani Bernard,177.09,RB,CIN,2019
187,"Steelers, Pittsburgh PIT Def",177.43,Def,PIT,2019
188,Jamaal Williams,177.50,RB,GBP,2019
189,Josh Rosen,177.56,QB,MIA,2019
190,Andy Isabella,178.12,WR,ARI,2019
191,Daniel Jones,179.53,QB,NYG,2019
192,DaeSean Hamilton,180.43,WR,DEN,2019
193,Ted Ginn Jr.,180.75,WR,NOS,2019
194,"Eagles, Philadelphia PHI Def",180.86,Def,PHI,2019
195,JJ Arcega-Whiteside,181.15,WR,PHI,2019
196,"Bills, Buffalo BUF Def",181.72,Def,BUF,2019
197,C.J. Anderson,182.14,RB,FA,2019
198,Jacoby Brissett,182.26,QB,IND,2019
199,Chris Moore,182.44,WR,BAL,2019
200,Matt Prater,182.95,PK,DET,2019
201,Mike Gesicki,183.99,TE,MIA,2019
202,Jake Elliott,183.99,PK,PHI,2019
203,Jason Myers,184.84,PK,SEA,2019
204,Chase Edmonds,187.84,RB,ARI,2019
205,Zay Jones,187.91,WR,OAK,2019
206,Mason Crosby,188.11,PK,GBP,2019
207,Eli Manning,188.52,QB,NYG,2019
208,Jalen Richard,189.23,RB,OAK,2019
209,Irv Smith Jr.,190.29,TE,MIN,2019
210,"Falcons, Atlanta ATL Def",190.57,Def,ATL,2019
211,Mike Badgley,190.91,PK,LAC,2019
212,"Titans, Tennessee TEN Def",191.00,Def,TEN,2019
213,Albert Wilson,191.14,WR,MIA,2019
214,Brett Maher,191.98,PK,NYJ,2019
215,Dare Ogunbowale,192.44,RB,TBB,2019
216,Adam Humphries,192.90,WR,TEN,2019
217,Aldrick Rosas,192.90,PK,NYG,2019
218,Giorgio Tavecchio,193.54,PK,FA,2019
219,"Jets, New York NYJ Def",193.80,Def,NYJ,2019
220,Drew Lock,194.76,QB,DEN,2019
221,Hakeem Butler,194.77,WR,ARI,2019
222,Brandon McManus,195.89,PK,DEN,2019
223,Ty Montgomery,196.78,RB,NYJ,2019
224,Ian Thomas,197.69,TE,CAR,2019
225,Mike Davis,197.89,RB,CAR,2019
226,"Colts, Indianapolis IND Def",197.94,Def,IND,2019
227,Malcolm Brown,198.02,RB,LAR,2019
228,Chris Boswell,199.60,PK,PIT,2019
229,Robert Foster,200.05,WR,BUF,2019
230,Miles Boykin,200.06,WR,BAL,2019
231,Ryan Fitzpatrick,200.95,QB,MIA,2019
232,Steven Hauschka,202.05,PK,BUF,2019
233,Ryquell Armstead,202.13,RB,JAC,2019
234,Gus Edwards,202.28,RB,BAL,2019
235,Nelson Agholor,202.62,WR,PHI,2019
236,Josh Lambo,203.20,PK,JAC,2019
237,T.J. Yeldon,203.29,RB,BUF,2019
238,Cole Beasley,207.35,WR,BUF,2019
239,"Packers, Green Bay GBP Def",209.48,Def,GBP,2019
240,Terry McLaurin,209.67,WR,WAS,2019
241,"Redskins, Washington WAS Def",210.30,Def,WAS,2019
242,"Panthers, Carolina CAR Def",210.41,Def,CAR,2019
243,Dan Bailey,210.97,PK,MIN,2019
244,Diontae Johnson,211.02,WR,PIT,2019
245,Randall Cobb,211.82,WR,DAL,2019
246,Frank Gore,212.09,RB,BUF,2019
247,Jakobi Meyers,212.29,WR,NEP,2019
248,"49ers, San Francisco SFO Def",212.64,Def,SFO,2019
249,"Lions, Detroit DET Def",213.17,Def,DET,2019
250,Demaryius Thomas,213.21,WR,NYJ,2019
251,Benny Snell,213.35,RB,PIT,2019
252,Cameron Brate,213.48,TE,TBB,2019
253,Jace Sternberger,214.17,TE,GBP,2019
254,Willie Snead,215.52,WR,BAL,2019
255,Dontrell Hilliard,215.58,RB,CLE,2019
256,Gerald Everett,216.18,TE,LAR,2019
257,John Ross,216.87,WR,CIN,2019
258,Graham Gano,218.90,PK,CAR,2019
259,Case Keenum,220.40,QB,WAS,2019
260,Rashard Higgins,221.02,WR,CLE,2019
261,D.J. Chark,221.97,WR,JAC,2019
262,Dexter Williams,223.52,RB,GBP,2019
263,Josh Doctson,224.64,WR,FA,2019
264,Hunter Renfrow,226.66,WR,OAK,2019
265,"Giants, New York NYG Def",227.33,Def,NYG,2019
266,Rob FA* TEGronkowski,227.63,TE,FA*,2019
267,David Moore,227.97,WR,SEA,2019
268,Dawson Knox,231.13,TE,BUF,2019
269,Kelvin Harmon,232.26,WR,WAS,2019
270,Rex Burkhead,232.29,RB,NEP,2019
271,Michael Crabtree,232.40,WR,FA,2019
272,Elijah McGuire,233.47,RB,FA,2019
273,Ben Watson,233.88,TE,FA,2019
274,Demarcus Robinson,234.37,WR,KCC,2019
275,Danny Amendola,234.80,WR,DET,2019
276,Teddy Bridgewater,236.31,QB,NOS,2019
277,Hayden Hurst,237.64,TE,BAL,2019
278,Matt LaCosse,237.88,TE,NEP,2019
279,KeeSean Johnson,237.91,WR,ARI,2019
280,Ricky Seals-Jones,239.41,TE,CLE,2019
281,Jonnu Smith,239.72,TE,TEN,2019
282,Will Grier,240.95,QB,CAR,2019
283,Taylor Gabriel,241.08,WR,CHI,2019
284,Phillip Dorsett,241.08,WR,NEP,2019
285,Ryan Tannehill,241.87,QB,TEN,2019
286,Rodney Anderson,243.02,RB,CIN,2019
287,Bruce Anderson,243.21,RB,IND,2019
288,Alfred Morris,243.67,RB,FA,2019
289,Jay Ajayi,246.07,RB,FA,2019
