Rank,Player,Avg Pick,Pos,Tm,Season
1,Adrian Peterson,1.25,RB,MIN,2013
2,Doug Martin,3.13,RB,TBB,2013
3,Arian Foster,4.72,RB,HOU,2013
4,Jamaal Charles,5.56,RB,KCC,2013
5,Calvin Johnson,5.91,WR,DET,2013
6,C.J. Spiller,7.21,RB,BUF,2013
7,Ray Rice,7.72,RB,BAL,2013
8,Trent Richardson,8.25,RB,IND,2013
9,LeSean McCoy,8.58,RB,PHI,2013
10,Marshawn Lynch,10.17,RB,SEA,2013
11,A.J. Green,14.00,WR,CIN,2013
12,Matt Forte,14.41,RB,CHI,2013
13,Dez Bryant,14.54,WR,DAL,2013
14,Alfred Morris,15.61,RB,WAS,2013
15,Brandon Marshall,17.46,WR,CHI,2013
16,Jimmy Graham,17.98,TE,NOS,2013
17,Julio Jones,19.11,WR,ATL,2013
18,Aaron Rodgers,20.63,QB,GBP,2013
19,Chris Johnson,21.15,RB,TEN,2013
20,Demaryius Thomas,21.88,WR,DEN,2013
21,Steven Jackson,21.93,RB,ATL,2013
22,Drew Brees,23.41,QB,NOS,2013
23,Reggie Bush,25.17,RB,DET,2013
24,Maurice Jones-Drew,26.08,RB,JAC,2013
25,Larry Fitzgerald,26.43,WR,ARI,2013
26,Andre Johnson,28.65,WR,HOU,2013
27,Randall Cobb,29.13,WR,GBP,2013
28,Stevan Ridley,30.95,RB,NEP,2013
29,Darren Sproles,31.39,RB,NOS,2013
30,Roddy White,31.63,WR,ATL,2013
31,DeMarco Murray,32.67,RB,DAL,2013
32,Victor Cruz,33.82,WR,NYG,2013
33,David Wilson,34.53,RB,NYG,2013
34,Peyton Manning,36.77,QB,DEN,2013
35,Frank Gore,37.32,RB,SFO,2013
36,Darren McFadden,38.20,RB,OAK,2013
37,Vincent Jackson,38.63,WR,TBB,2013
38,Wes Welker,41.26,WR,DEN,2013
39,Rob Gronkowski,42.07,TE,NEP,2013
40,Cam Newton,43.28,QB,CAR,2013
41,Lamar Miller,43.77,RB,MIA,2013
42,Danny Amendola,44.78,WR,NEP,2013
43,Dwayne Bowe,45.14,WR,KCC,2013
44,Marques Colston,45.52,WR,NOS,2013
45,Reggie Wayne,46.57,WR,IND,2013
46,Tom Brady,47.10,QB,NEP,2013
47,Jason Witten,49.60,TE,DAL,2013
48,Hakeem Nicks,50.95,WR,NYG,2013
49,Jordy Nelson,51.63,WR,GBP,2013
50,Eddie Lacy,53.74,RB,GBP,2013
51,Matt Ryan,53.78,QB,ATL,2013
52,Pierre Garcon,56.02,WR,WAS,2013
53,Ryan Mathews,56.82,RB,SDC,2013
54,Torrey Smith,57.54,WR,BAL,2013
55,Antonio Brown,58.05,WR,PIT,2013
56,Eric Decker,59.25,WR,DEN,2013
57,Colin Kaepernick,59.43,QB,SFO,2013
58,Mike Wallace,60.37,WR,MIA,2013
59,Vernon Davis,61.17,TE,SFO,2013
60,Montee Ball,62.30,RB,DEN,2013
61,Tony Gonzalez,62.79,TE,ATL,2013
62,Giovani Bernard,64.44,RB,CIN,2013
63,Matthew Stafford,64.62,QB,DET,2013
64,Andrew Luck,66.62,QB,IND,2013
65,Steve Smith,67.77,WR,CAR,2013
66,Robert Griffin III,67.93,QB,WAS,2013
67,Le'Veon Bell,71.98,RB,PIT,2013
68,DeSean Jackson,72.49,WR,PHI,2013
69,James Jones,72.68,WR,GBP,2013
70,Shane Vereen,73.82,RB,NEP,2013
71,Russell Wilson,75.27,QB,SEA,2013
72,T.Y. Hilton,75.58,WR,IND,2013
73,Chris Ivory,76.65,RB,NYJ,2013
74,Tony Romo,77.58,QB,DAL,2013
75,Ahmad Bradshaw,77.81,RB,IND,2013
76,Tavon Austin,77.82,WR,STL,2013
77,Stevie Johnson,78.52,WR,BUF,2013
78,Cecil Shorts,79.52,WR,JAC,2013
79,Greg Jennings,80.28,WR,MIN,2013
80,Daryl Richardson,80.29,RB,STL,2013
81,Rashard Mendenhall,82.35,RB,ARI,2013
82,Miles Austin,85.49,WR,DAL,2013
83,Josh Gordon,86.00,WR,CLE,2013
84,Kyle Rudolph,90.85,TE,MIN,2013
85,Anquan Boldin,91.21,WR,SFO,2013
86,Mike Williams,91.77,WR,TBB,2013
87,Jermichael Finley,91.89,TE,GBP,2013
88,Greg Olsen,92.44,TE,CAR,2013
89,BenJarvus Green-Ellis,93.00,RB,CIN,2013
90,Kenny Britt,94.51,WR,TEN,2013
91,Mark Ingram,97.85,RB,NOS,2013
92,"Seahawks, Seattle SEA Def",98.48,Def,SEA,2013
93,DeAngelo Williams,99.08,RB,CAR,2013
94,Ben Tate,99.54,RB,HOU,2013
95,Lance Moore,99.60,WR,NOS,2013
96,Jared Cook,102.44,TE,STL,2013
97,Eli Manning,105.43,QB,NYG,2013
98,Andre Brown,106.97,RB,NYG,2013
99,Justin Blackmon,107.90,WR,JAC,2013
100,"49ers, San Francisco SFO Def",108.41,Def,SFO,2013
101,Owen Daniels,111.63,TE,HOU,2013
102,Antonio Gates,112.05,TE,SDC,2013
103,DeAndre Hopkins,112.59,WR,HOU,2013
104,Chris Givens,114.86,WR,STL,2013
105,Vick Ballard,115.30,RB,IND,2013
106,Michael Floyd,115.84,WR,ARI,2013
107,Vincent Brown,116.38,WR,SDC,2013
108,Bryce Brown,117.65,RB,PHI,2013
109,Emmanuel Sanders,118.60,WR,PIT,2013
110,Bernard Pierce,119.23,RB,BAL,2013
111,Michael Vick,120.37,QB,PHI,2013
112,Ronnie Hillman,120.62,RB,DEN,2013
113,Kenbrell Thompkins,120.88,WR,NEP,2013
114,Andy Dalton,121.54,QB,CIN,2013
115,"Bears, Chicago CHI Def",123.19,Def,CHI,2013
116,Jordan Cameron,123.35,TE,CLE,2013
117,Alshon Jeffery,123.36,WR,CHI,2013
118,Golden Tate,123.40,WR,SEA,2013
119,Jonathan Stewart,125.25,RB,CAR,2013
