Rank,Player,Avg Pick,Pos,Tm,Season
1,Le'Veon Bell,2.21,RB,PIT,2017
2,Antonio Brown,3.66,WR,PIT,2017
3,Julio Jones,5.64,WR,ATL,2017
4,Mike Evans,7.46,WR,TBB,2017
5,Ezekiel Elliott,9.12,RB,DAL,2017
6,A.J. Green,9.12,WR,CIN,2017
7,LeSean McCoy,10.19,RB,BUF,2017
8,Melvin Gordon,10.43,RB,LAC,2017
9,Devonta Freeman,10.83,RB,ATL,2017
10,Jordy Nelson,13.55,WR,GBP,2017
11,Michael Thomas,13.93,WR,NOS,2017
12,Jordan Howard,16.55,RB,CHI,2017
13,Jay Ajayi,16.76,RB,PHI,2017
14,Amari Cooper,17.42,WR,OAK,2017
15,T.Y. Hilton,19.40,WR,IND,2017
16,DeMarco Murray,19.45,RB,TEN,2017
17,Dez Bryant,19.73,WR,DAL,2017
18,Todd Gurley,20.53,RB,LAR,2017
19,Rob Gronkowski,20.98,TE,NEP,2017
20,Brandin Cooks,24.40,WR,NEP,2017
21,Doug Baldwin,24.65,WR,SEA,2017
22,Leonard Fournette,24.73,RB,JAC,2017
23,DeAndre Hopkins,25.23,WR,HOU,2017
24,Lamar Miller,30.93,RB,HOU,2017
25,Demaryius Thomas,31.57,WR,DEN,2017
26,Keenan Allen,33.36,WR,LAC,2017
27,Travis Kelce,33.62,TE,KCC,2017
28,Christian McCaffrey,34.00,RB,CAR,2017
29,Isaiah Crowell,37.39,RB,CLE,2017
30,Tom Brady,37.99,QB,NEP,2017
31,Alshon Jeffery,38.19,WR,PHI,2017
32,Davante Adams,40.56,WR,GBP,2017
33,Joe Mixon,41.00,RB,CIN,2017
34,Sammy Watkins,42.39,WR,LAR,2017
35,Jarvis Landry,44.02,WR,MIA,2017
36,Carlos Hyde,44.79,RB,SFO,2017
37,Tyreek Hill,45.82,WR,KCC,2017
38,Michael Crabtree,46.34,WR,OAK,2017
39,Golden Tate,47.42,WR,DET,2017
40,Marshawn Lynch,47.50,RB,OAK,2017
41,Stefon Diggs,52.51,WR,MIN,2017
42,Drew Brees,52.51,QB,NOS,2017
43,Larry Fitzgerald,53.67,WR,ARI,2017
44,Greg Olsen,53.80,TE,CAR,2017
45,Martavis Bryant,55.52,WR,PIT,2017
46,Mark Ingram,58.21,RB,NOS,2017
47,C.J. Anderson,59.64,RB,DEN,2017
48,Jamison Crowder,61.39,WR,WAS,2017
49,Kelvin Benjamin,61.78,WR,BUF,2017
50,Ameer Abdullah,62.65,RB,DET,2017
51,Emmanuel Sanders,63.24,WR,DEN,2017
52,Tevin Coleman,65.74,RB,ATL,2017
53,Jimmy Graham,67.23,TE,SEA,2017
54,Willie Snead,68.10,WR,NOS,2017
55,Russell Wilson,70.47,QB,SEA,2017
56,Matt Ryan,71.61,QB,ATL,2017
57,Bilal Powell,71.72,RB,NYJ,2017
58,DeVante Parker,72.84,WR,MIA,2017
59,Donte Moncrief,76.05,WR,IND,2017
60,Derrick Henry,76.24,RB,TEN,2017
61,Danny Woodhead,77.08,RB,BAL,2017
62,Mike Gillislee,81.10,RB,NEP,2017
63,Doug Martin,82.79,RB,TBB,2017
64,DeSean Jackson,84.49,WR,TBB,2017
65,Randall Cobb,86.20,WR,GBP,2017
66,Jameis Winston,86.75,QB,TBB,2017
67,Paul Perkins,87.15,RB,NYG,2017
68,Eddie Lacy,87.76,RB,SEA,2017
69,Kareem Hunt,88.27,RB,KCC,2017
70,Kyle Rudolph,88.31,TE,MIN,2017
71,Derek Carr,88.87,QB,OAK,2017
72,Cam Newton,90.05,QB,CAR,2017
73,Delanie Walker,91.34,TE,TEN,2017
74,Marcus Mariota,91.98,QB,TEN,2017
75,Theo Riddick,92.26,RB,DET,2017
76,Zach Ertz,92.65,TE,PHI,2017
77,Corey Davis,93.02,WR,TEN,2017
78,Jeremy Maclin,94.36,WR,BAL,2017
79,Kirk Cousins,96.80,QB,WAS,2017
80,Eric Decker,97.02,WR,TEN,2017
81,Tyrell Williams,97.80,WR,LAC,2017
82,Frank Gore,98.38,RB,IND,2017
83,Corey Coleman,99.97,WR,CLE,2017
84,LeGarrette Blount,101.49,RB,PHI,2017
85,Ben Roethlisberger,105.97,QB,PIT,2017
86,Dak Prescott,106.41,QB,DAL,2017
87,John Brown,108.02,WR,ARI,2017
88,Duke Johnson,109.08,RB,CLE,2017
89,Adam Thielen,111.25,WR,MIN,2017
90,Matthew Stafford,113.51,QB,DET,2017
91,Eric Ebron,114.19,TE,DET,2017
92,Philip Rivers,116.41,QB,LAC,2017
93,Marvin Jones,116.56,WR,DET,2017
94,Samaje Perine,117.15,RB,WAS,2017
95,Kenny Britt,119.86,WR,NEP,2017
96,Terrance West,121.26,RB,BAL,2017
97,Rishard Matthews,122.61,WR,TEN,2017
98,Jack Doyle,122.71,TE,IND,2017
99,Mike Wallace,123.76,WR,BAL,2017
100,James White,126.53,RB,NEP,2017
101,Andy Dalton,127.68,QB,CIN,2017
102,Justin Tucker,130.82,PK,BAL,2017
103,Eli Manning,130.99,QB,NYG,2017
104,Thomas Rawls,131.54,RB,SEA,2017
105,Jonathan Stewart,132.07,RB,CAR,2017
106,Josh Doctson,133.38,WR,WAS,2017
107,Stephen Gostkowski,134.11,PK,NEP,2017
108,"Broncos, Denver DEN Def",136.96,Def,DEN,2017
109,Ted Ginn Jr.,138.14,WR,NOS,2017
110,Sterling Shepard,139.34,WR,NYG,2017
111,Tyrod Taylor,139.36,QB,BUF,2017
112,Alvin Kamara,139.43,RB,NOS,2017
113,Darren McFadden,140.51,RB,FA,2017
114,Austin Hooper,141.34,TE,ATL,2017
115,Carson Palmer,144.27,QB,ARI,2017
116,Latavius Murray,145.02,RB,MIN,2017
117,Jamaal Williams,148.47,RB,GBP,2017
118,Giovani Bernard,149.40,RB,CIN,2017
119,Zay Jones,149.42,WR,BUF,2017
120,"Chiefs, Kansas City KCC Def",149.71,Def,KCC,2017
121,Jason Witten,150.27,TE,DAL,2017
122,Tyler Lockett,150.96,WR,SEA,2017
123,Jamaal Charles,151.20,RB,DEN,2017
124,Matt Bryant,151.74,PK,ATL,2017
125,"Texans, Houston HOU Def",154.63,Def,HOU,2017
126,"Seahawks, Seattle SEA Def",155.84,Def,SEA,2017
127,Breshad Perriman,156.63,WR,BAL,2017
128,Blake Bortles,156.91,QB,JAC,2017
129,Jacquizz Rodgers,156.99,RB,TBB,2017
130,Dan Bailey,158.52,PK,DAL,2017
131,Cole Beasley,159.44,WR,DAL,2017
132,Cameron Brate,159.79,TE,TBB,2017
133,Mike Williams,160.56,WR,LAC,2017
134,Evan Engram,161.16,TE,NYG,2017
135,Joe Flacco,161.34,QB,BAL,2017
136,Rex Burkhead,163.41,RB,NEP,2017
137,Jonathan Williams,164.38,RB,NOS,2017
138,Chris Hogan,164.74,WR,NEP,2017
139,Will Fuller,166.01,WR,HOU,2017
140,Sam Bradford,166.68,QB,MIN,2017
141,"Patriots, New England NEP Def",166.88,Def,NEP,2017
142,Taylor Gabriel,168.11,WR,ATL,2017
143,"Vikings, Minnesota MIN Def",168.40,Def,MIN,2017
144,David Njoku,168.52,TE,CLE,2017
145,Kenny Stills,168.53,WR,MIA,2017
146,Mason Crosby,168.81,PK,GBP,2017
147,Jay Cutler,169.00,QB,MIA,2017
148,Robert Woods,169.29,WR,LAR,2017
149,"Cardinals, Arizona ARI Def",169.57,Def,ARI,2017
150,Marlon Mack,169.63,RB,IND,2017
151,Marqise Lee,169.71,WR,JAC,2017
152,Danny Amendola,171.93,WR,NEP,2017
153,Cooper Kupp,174.44,WR,LAR,2017
154,Robby Anderson,174.52,WR,NYJ,2017
155,Kenny Golladay,175.39,WR,DET,2017
156,Mohamed Sanu,176.95,WR,ATL,2017
157,Tony Romo,177.07,QB,FA,2017
158,Alex Smith,177.74,QB,WAS,2017
159,Adam Vinatieri,178.49,PK,IND,2017
160,Ladarius Green,179.73,TE,FA,2017
161,Matt Prater,180.53,PK,DET,2017
162,Jerick McKinnon,181.38,RB,MIN,2017
163,Dion Lewis,181.42,RB,NEP,2017
164,Wil Lutz,181.66,PK,NOS,2017
165,Jared Cook,182.23,TE,OAK,2017
