Rank,Player,Avg Pick,Pos,Tm,Season
1,Christian McCaffrey,1.31,RB,CAR,2020
2,Saquon Barkley,2.59,RB,NYG,2020
3,Ezekiel Elliott,4.08,RB,DAL,2020
4,Michael Thomas,5.89,WR,NOS,2020
5,Alvin Kamara,6.59,RB,NOS,2020
6,Dalvin Cook,7.76,RB,MIN,2020
7,Patrick Mahomes,10.69,QB,KCC,2020
8,Lamar Jackson,11.18,QB,BAL,2020
9,Derrick Henry,11.46,RB,TEN,2020
10,Davante Adams,12.50,WR,GBP,2020
11,Joe Mixon,15.23,RB,CIN,2020
12,Josh Jacobs,16.33,RB,LVR,2020
13,Travis Kelce,17.53,TE,KCC,2020
14,Tyreek Hill,17.59,WR,KCC,2020
15,Nick Chubb,17.80,RB,CLE,2020
16,Clyde Edwards-Helaire,18.06,RB,KCC,2020
17,DeAndre Hopkins,18.14,WR,ARI,2020
18,Miles Sanders,18.81,RB,PHI,2020
19,Aaron Jones,19.99,RB,GBP,2020
20,Austin Ekeler,20.26,RB,LAC,2020
21,George Kittle,21.01,TE,SFO,2020
22,Julio Jones,21.05,WR,ATL,2020
23,Kenyan Drake,23.72,RB,ARI,2020
24,Chris Godwin,24.15,WR,TBB,2020
25,Mike Evans,30.49,WR,TBB,2020
26,Kenny Golladay,32.19,WR,DET,2020
27,Deshaun Watson,35.09,QB,HOU,2020
28,Amari Cooper,35.30,WR,DAL,2020
29,Jonathan Taylor,36.00,RB,IND,2020
30,JuJu Smith-Schuster,36.18,WR,PIT,2020
31,Todd Gurley,36.59,RB,ATL,2020
32,D.J. Moore,36.73,WR,CAR,2020
33,Odell Beckham,36.96,WR,CLE,2020
34,Dak Prescott,38.28,QB,DAL,2020
35,Leonard Fournette,38.31,RB,TBB,2020
36,Allen Robinson,39.77,WR,CHI,2020
37,Mark Andrews,42.53,TE,BAL,2020
38,Cooper Kupp,42.56,WR,LAR,2020
39,Russell Wilson,44.23,QB,SEA,2020
40,A.J. Brown,45.18,WR,TEN,2020
41,Kyler Murray,45.99,QB,ARI,2020
42,Adam Thielen,46.56,WR,MIN,2020
43,James Conner,46.57,RB,PIT,2020
44,Zach Ertz,48.15,TE,PHI,2020
45,Chris Carson,48.73,RB,SEA,2020
46,Calvin Ridley,48.75,WR,ATL,2020
