Rank,Player,Avg Pick,Pos,Tm,Season
1,Antonio Brown,1.20,WR,PIT,2016
2,Odell Beckham,2.73,WR,NYG,2016
3,Julio Jones,3.07,WR,ATL,2016
4,Todd Gurley,6.02,RB,RAM,2016
5,DeAndre Hopkins,6.41,WR,HOU,2016
6,David Johnson,7.26,RB,ARI,2016
7,A.J. Green,7.30,WR,CIN,2016
8,Ezekiel Elliott,8.21,RB,DAL,2016
9,Le'Veon Bell,10.99,RB,PIT,2016
10,Dez Bryant,11.44,WR,DAL,2016
11,Allen Robinson,11.79,WR,JAC,2016
12,Adrian Peterson,12.90,RB,MIN,2016
13,Lamar Miller,13.26,RB,HOU,2016
14,Keenan Allen,16.71,WR,SDC,2016
15,Mike Evans,18.34,WR,TBB,2016
16,Devonta Freeman,18.57,RB,ATL,2016
17,Jordy Nelson,19.33,WR,GBP,2016
18,Brandon Marshall,20.74,WR,NYJ,2016
19,Alshon Jeffery,20.90,WR,CHI,2016
20,Amari Cooper,21.35,WR,OAK,2016
21,Jamaal Charles,22.14,RB,KCC,2016
22,Brandin Cooks,23.45,WR,NOS,2016
23,T.Y. Hilton,26.22,WR,IND,2016
24,Mark Ingram,26.44,RB,NOS,2016
25,Eddie Lacy,28.15,RB,GBP,2016
26,Demaryius Thomas,28.65,WR,DEN,2016
27,Sammy Watkins,28.83,WR,BUF,2016
28,Jarvis Landry,30.79,WR,MIA,2016
29,LeSean McCoy,31.46,RB,BUF,2016
30,Randall Cobb,33.30,WR,GBP,2016
31,Cam Newton,34.89,QB,CAR,2016
32,Jordan Reed,37.47,TE,WAS,2016
33,C.J. Anderson,38.80,RB,DEN,2016
34,Julian Edelman,39.01,WR,NEP,2016
35,Golden Tate,39.33,WR,DET,2016
36,Kelvin Benjamin,39.72,WR,CAR,2016
37,Jeremy Maclin,40.25,WR,KCC,2016
38,Donte Moncrief,42.81,WR,IND,2016
39,Carlos Hyde,43.36,RB,SFO,2016
40,Aaron Rodgers,43.57,QB,GBP,2016
41,Thomas Rawls,44.78,RB,SEA,2016
42,Matt Forte,45.02,RB,NYJ,2016
43,Doug Baldwin,46.37,WR,SEA,2016
44,Latavius Murray,48.23,RB,OAK,2016
45,Eric Decker,49.90,WR,NYJ,2016
46,Greg Olsen,51.25,TE,CAR,2016
47,Michael Floyd,51.30,WR,NEP,2016
48,Jordan Matthews,53.87,WR,PHI,2016
49,Larry Fitzgerald,54.69,WR,ARI,2016
50,DeMarco Murray,55.56,RB,TEN,2016
51,Andrew Luck,57.05,QB,IND,2016
52,Russell Wilson,58.33,QB,SEA,2016
53,Duke Johnson,61.14,RB,CLE,2016
54,Emmanuel Sanders,63.17,WR,DEN,2016
55,Danny Woodhead,63.70,RB,SDC,2016
56,John Brown,63.94,WR,ARI,2016
57,Giovani Bernard,64.54,RB,CIN,2016
58,Travis Kelce,64.78,TE,KCC,2016
59,Jeremy Langford,65.08,RB,CHI,2016
60,Jeremy Hill,65.65,RB,CIN,2016
61,Tyler Lockett,65.86,WR,SEA,2016
62,DeVante Parker,66.35,WR,MIA,2016
63,Allen Hurns,67.46,WR,JAC,2016
64,Matt Jones,68.74,RB,WAS,2016
65,Dion Lewis,68.80,RB,NEP,2016
66,Ryan Mathews,69.13,RB,PHI,2016
67,Drew Brees,71.25,QB,NOS,2016
68,Jonathan Stewart,73.10,RB,CAR,2016
69,Marvin Jones,73.34,WR,DET,2016
70,Michael Crabtree,73.91,WR,OAK,2016
71,Coby Fleener,74.51,TE,NOS,2016
72,Melvin Gordon,74.80,RB,SDC,2016
73,Delanie Walker,75.27,TE,TEN,2016
74,Kevin White,76.33,WR,CHI,2016
75,DeSean Jackson,78.84,WR,WAS,2016
76,Ben Roethlisberger,80.72,QB,PIT,2016
77,Frank Gore,80.92,RB,IND,2016
78,Sterling Shepard,83.04,WR,NYG,2016
79,Ameer Abdullah,84.40,RB,DET,2016
80,Corey Coleman,87.87,WR,CLE,2016
81,Tom Brady,87.99,QB,NEP,2016
82,Tyler Eifert,88.84,TE,CIN,2016
83,Arian Foster,91.25,RB,FA,2016
84,Willie Snead,93.83,WR,NOS,2016
85,T.J. Yeldon,93.90,RB,JAC,2016
86,Charles Sims,94.35,RB,TBB,2016
87,Zach Ertz,94.80,TE,PHI,2016
88,Jay Ajayi,95.93,RB,MIA,2016
89,Stefon Diggs,96.59,WR,MIN,2016
90,Carson Palmer,96.68,QB,ARI,2016
91,Gary Barnidge,97.15,TE,CLE,2016
92,DeAngelo Williams,97.90,RB,PIT,2016
93,Rashad Jennings,99.68,RB,NYG,2016
94,Blake Bortles,100.44,QB,JAC,2016
95,Julius Thomas,100.70,TE,JAC,2016
96,Tavon Austin,100.93,WR,RAM,2016
97,Derrick Henry,101.19,RB,TEN,2016
98,Chris Ivory,101.94,RB,JAC,2016
99,Torrey Smith,102.47,WR,SFO,2016
100,Theo Riddick,107.11,RB,DET,2016
101,Eli Manning,107.19,QB,NYG,2016
102,Travis Benjamin,109.04,WR,SDC,2016
103,Justin Forsett,109.29,RB,DEN,2016
104,Antonio Gates,111.23,TE,SDC,2016
105,Philip Rivers,112.07,QB,SDC,2016
106,Markus Wheaton,112.61,WR,PIT,2016
107,Laquon Treadwell,113.05,WR,MIN,2016
108,Michael Thomas,114.45,WR,NOS,2016
109,Kamar Aiken,117.79,WR,BAL,2016
110,Isaiah Crowell,118.80,RB,CLE,2016
111,Dwayne Allen,119.23,TE,IND,2016
112,Vincent Jackson,119.65,WR,TBB,2016
113,Ladarius Green,119.72,TE,PIT,2016
114,Devin Funchess,119.85,WR,CAR,2016
115,Martellus Bennett,121.84,TE,NEP,2016
116,Stephen Gostkowski,122.90,PK,NEP,2016
117,Tevin Coleman,123.01,RB,ATL,2016
118,Jameis Winston,125.37,QB,TBB,2016
119,Kirk Cousins,126.01,QB,WAS,2016
120,Eric Ebron,127.10,TE,DET,2016
121,Dorial Green-Beckham,127.35,WR,PHI,2016
122,"Broncos, Denver DEN Def",129.44,Def,DEN,2016
123,Jimmy Graham,130.61,TE,SEA,2016
124,LeGarrette Blount,130.67,RB,NEP,2016
125,Bilal Powell,131.25,RB,NYJ,2016
126,Matthew Stafford,131.72,QB,DET,2016
127,Sammie Coates,133.08,WR,PIT,2016
128,Mohamed Sanu,134.38,WR,ATL,2016
129,Phillip Dorsett,134.40,WR,IND,2016
130,"Cardinals, Arizona ARI Def",134.69,Def,ARI,2016
131,Tyrod Taylor,135.42,QB,BUF,2016
132,Jason Witten,135.59,TE,DAL,2016
133,Steve Smith,136.53,WR,FA,2016
134,Marcus Mariota,139.33,QB,TEN,2016
135,"Seahawks, Seattle SEA Def",140.54,Def,SEA,2016
136,C.J. Prosise,140.77,RB,SEA,2016
137,Zach Miller,142.77,TE,CHI,2016
138,Andy Dalton,143.15,QB,CIN,2016
139,DeAndre Washington,145.02,RB,OAK,2016
140,Devontae Booker,145.49,RB,DEN,2016
141,Kenneth Dixon,145.93,RB,BAL,2016
142,Rishard Matthews,147.80,WR,TEN,2016
143,Jerick McKinnon,148.36,RB,MIN,2016
144,Matt Ryan,148.38,QB,ATL,2016
145,Christine Michael,149.61,RB,GBP,2016
146,Josh Doctson,149.91,WR,WAS,2016
147,"Panthers, Carolina CAR Def",150.04,Def,CAR,2016
148,Shane Vereen,150.31,RB,NYG,2016
149,Tyler Boyd,151.91,WR,CIN,2016
150,Tony Romo,153.10,QB,DAL,2016
151,Darren Sproles,153.15,RB,PHI,2016
152,Will Fuller,153.37,WR,HOU,2016
153,Chris Hogan,154.23,WR,NEP,2016
154,Steven Hauschka,155.28,PK,SEA,2016
155,Ryan Tannehill,155.87,QB,MIA,2016
156,James White,157.02,RB,NEP,2016
157,Karlos Williams,157.35,RB,PIT,2016
158,Mike Wallace,159.18,WR,BAL,2016
159,"Texans, Houston HOU Def",159.51,Def,HOU,2016
160,Charles Clay,159.74,TE,BUF,2016
161,Graham Gano,160.00,PK,CAR,2016
162,Tajae Sharpe,160.98,WR,TEN,2016
163,Austin Seferian-Jenkins,161.76,TE,NYJ,2016
