Rank,Player,Avg Pick,Pos,Tm,Season
1,Christian McCaffrey,1.32,RB,CAR,2021
2,Dalvin Cook,2.84,RB,MIN,2021
3,Alvin Kamara,4.15,RB,NOS,2021
4,Derrick Henry,5.21,RB,TEN,2021
5,Ezekiel Elliott,8.91,RB,DAL,2021
6,Davante Adams,9.42,WR,GBP,2021
7,Travis Kelce,10.51,TE,KCC,2021
8,Tyreek Hill,10.74,WR,KCC,2021
9,Aaron Jones,11.24,RB,GBP,2021
10,Saquon Barkley,11.53,RB,NYG,2021
11,Nick Chubb,12.03,RB,CLE,2021
12,Jonathan Taylor,12.90,RB,IND,2021
13,Austin Ekeler,14.60,RB,LAC,2021
14,Stefon Diggs,15.16,WR,BUF,2021
15,Patrick Mahomes,16.34,QB,KCC,2021
16,DeAndre Hopkins,19.84,WR,ARI,2021
17,DK Metcalf,19.86,WR,SEA,2021
18,Najee Harris,20.01,RB,PIT,2021
19,Antonio Gibson,22.69,RB,WAS,2021
20,Joe Mixon,23.14,RB,CIN,2021
21,Darren Waller,23.71,TE,LVR,2021
22,Clyde Edwards-Helaire,26.22,RB,KCC,2021
23,Justin Jefferson,26.31,WR,MIN,2021
24,Josh Allen,26.91,QB,BUF,2021
25,A.J. Brown,28.50,WR,TEN,2021
26,Keenan Allen,28.74,WR,LAC,2021
27,George Kittle,29.41,TE,SFO,2021
28,Chris Carson,35.64,RB,SEA,2021
29,Kyler Murray,35.77,QB,ARI,2021
30,Lamar Jackson,36.13,QB,BAL,2021
31,David Montgomery,36.19,RB,CHI,2021
32,Terry McLaurin,36.68,WR,WAS,2021
33,Allen Robinson,37.35,WR,CHI,2021
34,Mike Evans,37.65,WR,TBB,2021
35,CeeDee Lamb,37.86,WR,DAL,2021
36,Miles Sanders,39.31,RB,PHI,2021
37,Josh Jacobs,39.77,RB,LVR,2021
38,D'Andre Swift,40.36,RB,DET,2021
39,Chris Godwin,42.16,WR,TBB,2021
40,J.K. Dobbins,42.73,RB,BAL,2021
41,Amari Cooper,48.00,WR,DAL,2021
42,Russell Wilson,48.33,QB,SEA,2021
43,Kyle Pitts,48.96,TE,ATL,2021
44,Julio Jones,49.38,WR,TEN,2021
45,Myles Gaskin,49.46,RB,MIA,2021
46,James Robinson,49.68,RB,JAC,2021
47,Dak Prescott,49.71,QB,DAL,2021
48,Aaron Rodgers,50.47,QB,GBP,2021
49,Adam Thielen,52.12,WR,MIN,2021
50,D.J. Moore,53.02,WR,CAR,2021
51,Cooper Kupp,54.73,WR,LAR,2021
52,Justin Herbert,55.15,QB,LAC,2021
53,Mark Andrews,55.16,TE,BAL,2021
54,Diontae Johnson,56.26,WR,PIT,2021
55,Tyler Lockett,56.78,WR,SEA,2021
56,Mike Davis,59.87,RB,ATL,2021
57,Kareem Hunt,60.57,RB,CLE,2021
58,T.J. Hockenson,60.71,TE,DET,2021
59,Chase Edmonds,60.99,RB,ARI,2021
60,Ja'Marr Chase,66.24,WR,CIN,2021
61,Brandon Aiyuk,66.39,WR,SFO,2021
62,Javonte Williams,68.00,RB,DEN,2021
63,Tom Brady,68.22,QB,TBB,2021
64,Tee Higgins,69.43,WR,CIN,2021
65,Raheem Mostert,70.37,RB,SFO,2021
66,Michael Thomas,70.86,WR,NOS,2021
67,Travis Etienne,70.95,RB,JAC,2021
